Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,6,6,6,6,6,11,11,11,11,11,11,11,
Reserves,27,21,22,18,43,32,26,44,27,16,4,-9,
Borrowings,29,38,36,45,57,62,67,47,40,40,28,40,
  └─ Long term Borrowings,18.13,21.26,14.75,16.33,15.24,11.52,7.33,7.26,5.67,3.50,1.95,4.61,
  └─ Short term Borrowings,9.80,15.22,19.94,24.60,39.52,45.73,57.58,39.59,34.38,36.02,25.68,34.51,
  └─ Lease Liabilities,0.00,0.00,0.00,0.00,0.00,0.00,1.64,0.54,0.14,0.33,0.48,0.83,
  └─ Other Borrowings,0.99,1.38,1.76,3.69,1.93,5.13,0.00,0.00,0.00,0.00,0.00,,
Other Liabilities,13,13,20,23,34,32,33,27,28,28,25,26,
  └─ Trade Payables,6.14,8.97,10.45,10.44,15.17,17.90,19.44,14.19,13.39,13.51,10.64,8.35,
  └─ Advance from Customers,1.42,0.36,0.83,0.58,0.39,0.14,0.35,0.04,0.06,0.16,0.48,,
  └─ Other liability items,5.81,4.04,8.58,11.85,18.49,13.83,13.43,12.86,14.16,14.78,13.73,17.85,
Total Liabilities,76,79,84,92,140,137,137,130,105,95,68,68,
Fixed Assets,38,42,45,46,59,64,60,46,50,47,31,36,
  └─ Land,15.16,15.16,16.95,16.95,17.00,17.78,18.07,14.39,14.39,14.39,14.39,,
  └─ Building,11.34,11.34,8.70,9.11,12.48,13.52,13.91,8.92,9.16,9.16,9.16,,
  └─ Plant Machinery,65.57,71.09,74.37,76.26,98.47,105.60,107.01,102.59,112.79,113.91,65.05,,
  └─ Equipments,0.87,1.00,1.04,1.04,1.21,1.31,1.33,1.29,1.30,1.36,1.37,,
  └─ Computers,1.49,1.62,2.01,2.08,1.83,1.15,1.22,0.87,1.16,1.17,0.47,,
  └─ Furniture n fittings,1.18,1.21,1.40,1.43,2.11,2.14,2.18,1.77,1.91,1.96,1.46,,
  └─ Vehicles,0.29,0.29,0.33,0.33,0.75,0.81,0.76,1.13,1.17,1.18,0.90,,
  └─ Intangible Assets,1.75,1.75,3.38,3.38,3.73,3.73,3.73,2.09,2.09,2.09,2.09,0.38,
  └─ Other fixed assets,0.15,0.15,0.18,0.28,0.97,3.50,4.41,1.49,0.69,0.94,1.22,,
  └─ Gross Block,97.80,103.61,108.36,110.86,138.55,149.54,152.62,134.54,144.66,146.16,96.11,,
  └─ Accumulated Depreciation,59.77,61.31,63.07,65.24,79.49,85.85,92.85,88.77,94.86,99.13,65.24,,
CWIP,4,1,0,0,5,0,0,5,0,0,0,0,
Investments,0,0,0,0,6,2,1,3,6,2,0,0,
Other Assets,34,36,39,47,70,71,76,76,50,46,36,32,
  └─ Inventories,9.64,10.25,12.52,12.31,19.44,22.37,23.45,17.50,18.04,16.05,11.36,8.14,
  └─ Trade receivables,12.11,15.22,15.83,19.60,34.48,33.30,34.53,27.30,20.81,19.10,14.83,12.25,
    └─ Receivables over 6m,0.45,1.16,0.00,0.00,0.00,0.00,6.62,1.38,1.96,1.97,1.29,,0.27
    └─ Receivables under 6m,11.85,14.28,16.04,19.87,34.78,33.93,29.39,25.91,19.88,18.11,14.73,,12.20
    └─ Prov for Doubtful,-0.20,-0.22,-0.21,-0.27,-0.30,-0.64,-1.49,0.00,-1.03,-0.99,-1.20,,-0.19
  └─ Cash Equivalents,5.06,5.33,3.48,3.84,5.24,3.41,4.07,18.25,1.28,1.14,0.27,0.55,
  └─ Loans n Advances,1.25,1.25,0.51,1.33,1.89,2.15,0.84,0.42,0.46,0.38,0.45,1.78,
  └─ Other asset items,5.94,3.61,6.30,9.50,8.56,9.72,13.24,12.77,9.26,9.02,9.43,9.48,
Total Assets,76,79,84,92,140,137,137,130,105,95,68,68,
