Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,39,61,61,61,61,61
Reserves,4,18,32,38,45,53
Borrowings,11,10,20,15,29,18
  └─ Long term Borrowings,1.80,1.29,8.71,6.87,14.14,0.00
  └─ Short term Borrowings,9.03,9.08,11.28,7.72,14.88,18.50
  └─ Other Borrowings,0.00,0.00,0.01,0.01,0.00,
Other Liabilities,15,8,11,5,6,22
  └─ Non controlling int,13.15,0.00,0.00,0.00,0.00,0.00
  └─ Trade Payables,1.37,5.26,9.29,2.49,2.36,2.20
  └─ Advance from Customers,0.10,0.01,0.00,0.11,0.24,
  └─ Other liability items,0.80,2.80,1.70,2.22,3.09,19.53
Total Liabilities,70,97,124,118,140,154
Fixed Assets,28,41,55,55,77,86
  └─ Land,0.30,0.30,0.30,0.00,0.00,
  └─ Building,6.97,6.97,6.97,6.97,24.44,
  └─ Plant Machinery,9.84,9.84,9.84,9.81,14.34,
  └─ Equipments,0.11,0.14,0.14,0.14,0.14,
  └─ Computers,0.04,0.05,0.05,0.05,0.05,
  └─ Furniture n fittings,0.30,0.30,0.30,0.30,0.30,
  └─ Vehicles,0.78,0.99,1.83,1.83,2.17,
  └─ Intangible Assets,25.03,39.28,39.28,39.28,39.28,26.47
  └─ Other fixed assets,0.43,0.43,15.47,16.28,16.94,
  └─ Gross Block,43.80,58.30,74.18,74.66,97.66,
  └─ Accumulated Depreciation,16.11,17.51,18.90,19.74,20.73,
CWIP,0,0,8,8,0,0
Investments,3,3,3,3,3,7
Other Assets,39,53,57,51,60,61
  └─ Inventories,10.59,16.19,10.30,10.97,12.59,17.07
  └─ Trade receivables,5.44,10.27,15.88,9.61,12.91,12.03
  └─ Cash Equivalents,0.10,1.97,3.78,0.16,0.45,0.09
  └─ Loans n Advances,15.27,18.08,25.01,27.47,28.25,26.54
  └─ Other asset items,7.35,6.47,2.07,3.15,5.43,4.78
Total Assets,70,97,124,118,140,154
