Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Equity Capital,7,7,7,8,8,8,9,9,9,9
Reserves,170,181,188,212,228,248,322,340,283,282
Borrowings,43,102,177,191,187,226,301,303,109,27
  └─ Long term Borrowings,16.90,42.34,127.68,111.55,105.03,135.05,144.97,159.55,85.47,7.28
  └─ Short term Borrowings,20.85,52.48,31.58,60.18,57.92,69.26,136.86,143.42,23.94,19.82
  └─ Other Borrowings,5.34,7.18,17.33,19.54,24.20,21.80,19.36,0.00,-0.01,
Other Liabilities,23,98,56,54,49,57,71,82,53,29
  └─ Trade Payables,0.00,62.34,25.99,11.49,4.35,6.12,6.29,10.65,6.57,5.82
  └─ Advance from Customers,3.45,5.19,5.93,9.83,7.45,7.78,9.21,5.59,3.31,
  └─ Other liability items,19.98,30.47,24.39,32.90,36.78,43.55,55.91,65.79,43.16,23.15
Total Liabilities,243,387,427,465,472,539,703,734,455,347
Fixed Assets,167,191,269,261,278,274,291,485,224,168
  └─ Land,95.76,94.96,95.83,97.32,97.71,97.55,117.07,127.14,116.07,
  └─ Building,43.92,48.54,49.74,40.35,42.64,43.06,43.39,59.15,43.48,
  └─ Plant Machinery,39.22,82.07,148.60,93.33,107.50,116.56,126.60,306.29,123.71,
  └─ Equipments,0.20,0.21,0.23,0.05,0.06,0.07,0.16,0.17,0.16,
  └─ Computers,0.73,0.75,0.79,0.16,0.27,0.29,0.38,0.56,0.39,
  └─ Furniture n fittings,3.44,6.14,6.91,3.23,10.02,10.42,10.83,15.53,10.97,
  └─ Vehicles,23.67,25.13,29.58,14.34,19.92,20.00,20.21,19.05,17.74,
  └─ Intangible Assets,1.16,19.54,20.72,18.85,18.91,20.11,21.92,21.37,21.37,1.44
  └─ Other fixed assets,0.00,29.65,35.78,9.35,10.81,12.60,16.39,16.77,18.44,
  └─ Gross Block,208.10,306.99,388.18,276.98,307.84,320.66,356.95,566.03,352.33,
  └─ Accumulated Depreciation,41.13,115.55,119.06,16.24,30.28,46.47,66.45,80.80,128.63,
CWIP,0,27,2,0,0,12,193,6,0,0
Investments,4,0,0,10,8,7,28,43,87,42
Other Assets,71,169,155,194,186,246,192,201,144,137
  └─ Inventories,12,17,23,26,34,38,40,44,20,10
  └─ Trade receivables,41,117,87,113,107,124,104,117,78,47
  └─ Cash Equivalents,4,17,19,18,11,12,23,14,7,7
  └─ Loans n Advances,0,1,1,25,18,1,2,1,16,52
  └─ Other asset items,13,17,24,12,16,71,24,24,23,21
Total Assets,243,387,427,465,472,539,703,734,455,347
