Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.05,0.04,0.04,12,12
Reserves,39,40,54,126,142
Borrowings,4,1,8,1,1
  └─ Long term Borrowings,3.05,0.46,6.77,0.59,0.23
  └─ Short term Borrowings,0.84,0.10,0.81,0.75,0.36
Other Liabilities,15,13,15,16,16
  └─ Non controlling int,1.16,0.59,0.93,0.00,0.00
  └─ Trade Payables,0.23,0.08,0.67,0.80,0.59
  └─ Other liability items,13.78,12.06,13.41,14.76,15.68
Total Liabilities,58,53,77,154,171
Fixed Assets,10,9,13,20,20
  └─ Building,9.80,9.80,10.30,18.57,
  └─ Equipments,0.37,0.44,0.44,0.46,
  └─ Computers,1.17,1.34,1.63,1.03,
  └─ Furniture n fittings,1.32,1.32,1.63,1.76,
  └─ Vehicles,2.59,2.71,4.75,4.75,
  └─ Intangible Assets,0.00,0.00,0.00,0.41,1.60
  └─ Other fixed assets,0.06,0.06,0.87,0.84,
  └─ Gross Block,15.31,15.67,19.62,27.82,
  └─ Accumulated Depreciation,5.35,6.23,7.06,7.75,
CWIP,0,0,8,0,0
Investments,7,8,9,44,46
Other Assets,41,35,47,91,105
  └─ Trade receivables,14,13,19,13,25
    └─ Receivables over 6m,0.35,0.43,0.55,1.31,
    └─ Receivables under 6m,14.33,13.15,18.22,11.86,
    └─ Prov for Doubtful,-0.85,-0.93,0.00,-0.01,
  └─ Cash Equivalents,19,15,22,65,63
  └─ Loans n Advances,0,1,0,4,9
  └─ Other asset items,8,8,7,9,7
Total Assets,58,53,77,154,171
