Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Sep 2021
Equity Capital,11.60,11.60,11.60,11.60,11.60,11.60,11.60,11.60,11.60,11.60
Reserves,-0.07,3.20,4.07,5.38,5.89,27.15,27.57,24.91,18.11,16.82
Borrowings,29.91,42.19,24.18,36.02,33.82,15.52,9.75,9.15,10.10,11.60
  └─ Short term Borrowings,29.91,42.19,24.18,36.02,33.82,15.52,9.75,9.15,10.10,11.60
Other Liabilities,14.51,14.31,12.49,16.86,18.13,9.02,9.62,5.53,6.75,15.65
  └─ Trade Payables,10.66,10.10,8.58,7.39,10.13,4.15,6.77,2.73,2.31,3.65
  └─ Advance from Customers,0.00,0.00,0.00,2.25,0.43,2.38,1.47,1.20,1.15,
  └─ Other liability items,3.85,4.21,3.91,7.22,7.57,2.49,1.38,1.60,3.29,12.00
Total Liabilities,55.95,71.30,52.34,69.86,69.44,63.29,58.54,51.19,46.56,55.67
Fixed Assets,3.08,2.01,1.06,5.13,5.12,1.71,3.27,4.62,6.10,5.97
  └─ Building,0.78,0.00,0.00,0.50,0.77,0.50,0.00,0.00,0.00,
  └─ Equipments,1.79,1.45,1.32,1.36,0.21,0.33,0.39,0.47,0.46,
  └─ Computers,2.11,1.56,1.49,1.56,0.22,0.47,0.51,0.73,0.72,
  └─ Furniture n fittings,1.78,1.69,1.45,1.57,0.64,0.61,0.67,0.94,0.96,
  └─ Intangible Assets,0.00,0.00,0.00,3.41,3.41,0.00,0.00,0.00,0.00,5.11
  └─ Other fixed assets,0.72,0.74,0.76,1.01,1.04,1.20,3.52,5.16,7.72,
  └─ Gross Block,7.18,5.44,5.02,9.41,6.29,3.11,5.09,7.30,9.86,
  └─ Accumulated Depreciation,4.11,3.43,3.95,4.28,1.17,1.40,1.82,2.67,3.76,
CWIP,0.24,0.36,0.60,0.83,0.83,2.16,2.82,2.55,0.00,0.00
Investments,0.39,1.12,1.14,0.48,0.28,0.27,0.27,0.26,0.28,0.31
Other Assets,52.24,67.81,49.54,63.42,63.21,59.15,52.18,43.76,40.18,49.39
  └─ Inventories,1.64,5.45,5.48,8.95,11.48,7.68,2.01,2.83,0.65,2.86
  └─ Trade receivables,30.60,37.25,19.43,23.58,19.36,12.03,11.02,3.59,7.82,12.13
  └─ Cash Equivalents,9.39,15.55,19.47,25.99,23.74,32.78,28.46,27.30,18.48,18.60
  └─ Loans n Advances,0.43,0.41,0.36,0.30,0.31,0.32,0.14,0.48,0.39,2.45
  └─ Other asset items,10.18,9.15,4.80,4.60,8.32,6.34,10.55,9.56,12.84,13.35
Total Assets,55.95,71.30,52.34,69.86,69.44,63.29,58.54,51.19,46.56,55.67
