Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.00,27,27,27,27,30,33,33,33
Reserves,2147,2253,2300,2132,2497,2376,2634,2630,2473
Borrowings,849,852,1912,1708,2810,3414,4211,6152,8243
  └─ Long term Borrowings,149,270,330,349,827,875,873,2239,3129
  └─ Short term Borrowings,372,548,868,624,1060,1764,2395,2641,3903
  └─ Lease Liabilities,0,0,674,734,920,775,943,1273,1212
  └─ Preference Capital,0,0,0,0,3,0,0,0,0
  └─ Other Borrowings,328,33,40,0,0,0,0,0,
Other Liabilities,1680,1913,1946,2315,7266,7093,6821,7142,8301
  └─ Non controlling int,1144,1318,1327,1301,1549,1601,1793,1925,1876
  └─ Trade Payables,139,185,221,412,325,421,552,619,817
  └─ Advance from Customers,7,7,9,98,8,10,25,19,
  └─ Other liability items,390,404,390,503,5383,5061,4451,4579,5608
Total Liabilities,4676,5045,6185,6182,12599,12913,13699,15957,19049
Fixed Assets,2976,3140,3983,4078,9934,9956,10066,11272,12714
  └─ Land,24,24,655,854,762,828,984,1261,
  └─ Building,501,505,546,603,612,590,592,650,
  └─ Plant Machinery,239,281,331,335,291,299,288,292,
  └─ Equipments,115,115,153,144,125,116,121,214,
  └─ Computers,419,371,435,520,493,453,475,550,
  └─ Furniture n fittings,70,73,82,84,56,53,52,59,
  └─ Vehicles,3,3,7,7,6,9,8,11,
  └─ Intangible Assets,2323,2437,2664,2627,8252,8476,8514,9232,10889
  └─ Other fixed assets,96,96,97,106,191,201,204,313,
  └─ Gross Block,3790,3906,4972,5279,10789,11025,11238,12582,
  └─ Accumulated Depreciation,814,766,988,1201,855,1069,1172,1310,
CWIP,5,55,7,5,9,7,23,59,65
Investments,128,290,94,240,495,439,438,554,753
Other Assets,1567,1561,2100,1859,2161,2511,3172,4072,5519
  └─ Inventories,42,54,53,52,64,69,77,88,98
  └─ Trade receivables,401,437,603,608,1023,1109,1340,1808,2279
    └─ Receivables over 6m,0,0,0,0,0,58,94,207,
    └─ Receivables under 6m,417,454,626,629,1055,1106,1335,1733,
    └─ Prov for Doubtful,-16,-17,-23,-21,-32,-55,-89,-133,
  └─ Cash Equivalents,236,139,374,167,232,488,689,951,917
  └─ Loans n Advances,126,52,68,81,107,97,112,204,440
  └─ Other asset items,762,879,1003,951,734,748,955,1021,1785
Total Assets,4676,5045,6185,6182,12599,12913,13699,15957,19049
