Metric,Mar 2005,Mar 2006,Jun 2007,Mar 2008,Mar 2009
Equity Capital,11.65,11.65,11.65,11.65,11.65
Reserves,-39.75,-69.29,-13.10,-15.78,-11.02
Borrowings,84.99,95.90,1.25,1.14,1.13
  └─ Preference Capital,6.00,6.00,1.00,1.00,1.00
  └─ Other Borrowings,78.99,89.90,0.25,0.14,0.13
Other Liabilities,39.93,25.24,15.42,12.90,5.44
  └─ Non controlling int,0.41,0.41,0.00,0.00,0.00
  └─ Trade Payables,27.98,13.32,2.08,3.45,1.79
  └─ Advance from Customers,4.70,5.13,0.52,0.18,0.17
  └─ Other liability items,6.84,6.38,12.82,9.27,3.48
Total Liabilities,96.82,63.50,15.22,9.91,7.20
Fixed Assets,47.57,43.22,10.88,5.60,4.39
  └─ Land,0.20,0.20,0.20,0.20,0.20
  └─ Building,17.75,17.75,16.82,10.13,7.54
  └─ Plant Machinery,51.10,50.37,42.62,17.72,17.32
  └─ Computers,0.00,0.00,1.84,0.18,0.20
  └─ Furniture n fittings,10.60,9.91,6.20,2.37,2.34
  └─ Vehicles,0.54,0.48,0.36,0.02,0.13
  └─ Other fixed assets,1.06,1.06,1.05,0.00,0.00
  └─ Gross Block,81.25,79.77,69.09,30.62,27.73
  └─ Accumulated Depreciation,33.68,36.55,58.21,25.02,23.34
CWIP,0.61,0.58,0.00,0.00,0.00
Investments,0.01,0.01,1.34,1.34,0.00
Other Assets,48.63,19.69,3.00,2.97,2.81
  └─ Inventories,19.36,11.55,0.39,0.23,0.51
  └─ Trade receivables,21.43,3.67,0.18,0.14,0.13
    └─ Receivables over 6m,21.64,3.07,0.19,0.21,0.22
    └─ Receivables under 6m,0.35,1.16,0.18,0.09,0.08
    └─ Prov for Doubtful,-0.56,-0.56,-0.19,-0.16,-0.17
  └─ Cash Equivalents,3.55,1.23,0.57,0.61,0.38
  └─ Loans n Advances,0.25,0.07,0.05,0.05,0.05
  └─ Other asset items,4.04,3.17,1.81,1.94,1.74
Total Assets,96.82,63.50,15.22,9.91,7.20
