Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,19,19,19,19,19,19,19,19,19,19,19
Reserves,980,1125,2421,2033,1692,3279,4019,4671,6182,6881,8520
Borrowings,10,0,0,0,0,0,0,0,0,0,0
  └─ Short term Borrowings,10.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Lease Liabilities,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10
Other Liabilities,149,174,120,135,213,294,345,418,612,700,855
  └─ Trade Payables,136,164,0,0,0,0,0,0,0,0,0
  └─ Other liability items,13,10,120,135,213,294,345,418,612,700,855
Total Liabilities,1159,1318,2559,2187,1924,3591,4382,5108,6814,7600,9394
Fixed Assets,65,73,14,14,14,15,16,15,15,14,14
  └─ Computers,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.05,
  └─ Furniture n fittings,1.09,1.09,1.09,1.09,1.09,1.09,2.72,2.72,2.73,2.73,
  └─ Vehicles,2.66,2.66,2.66,0.00,0.00,1.86,1.86,1.86,1.86,1.86,
  └─ Other fixed assets,179.13,201.80,13.35,13.05,14.15,13.35,13.34,13.34,13.34,13.35,
  └─ Gross Block,182.88,205.55,17.10,14.14,15.24,16.30,17.93,17.93,17.96,17.99,
  └─ Accumulated Depreciation,118.09,132.60,2.66,0.43,1.49,1.40,2.03,2.61,3.11,3.53,
CWIP,3,3,0,0,0,0,0,0,0,0,0
Investments,667,770,2499,2086,1777,3424,4177,4838,6459,7128,8764
Other Assets,424,472,46,87,133,153,189,255,340,457,616
  └─ Inventories,62,52,0,0,0,0,0,0,0,0,0
  └─ Trade receivables,166,201,0,0,0,0,0,0,0,0,0
  └─ Cash Equivalents,26,34,3,9,87,103,140,203,287,403,569
  └─ Loans n Advances,-2,-2,0,0,-1,-0,-0,0,0,0,16
  └─ Other asset items,172,186,42,79,47,50,50,52,52,53,31
Total Assets,1159,1318,2559,2187,1924,3591,4382,5108,6814,7600,9394
