Metric,Jun 2014,Jun 2015,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,Jun 2021,Jun 2022,Jun 2023,Jun 2024,Jun 2025,Dec 2025
Equity Capital,15,15,15,15,15,15,15,15,15,15,15,15,15
Reserves,95,100,98,166,165,183,230,224,248,255,268,263,248
Borrowings,0,0,0,0,0,0,49,39,25,15,33,62,87
  └─ Lease Liabilities,0,0,0,0,0,0,49,39,25,15,33,62,87
  └─ Other Borrowings,0,0,0,0,0,0,0,0,-0,0,0,0,
Other Liabilities,107,96,104,67,76,76,76,66,67,85,95,110,112
  └─ Trade Payables,11,12,12,17,22,27,35,18,20,31,39,39,40
  └─ Advance from Customers,0,0,0,0,0,0,0,0,0,0,0,0,
  └─ Other liability items,96,84,92,50,54,49,40,48,47,54,56,70,72
Total Liabilities,216,211,217,248,255,274,370,343,355,369,411,449,462
Fixed Assets,79,75,77,62,69,71,137,125,101,87,63,82,144
  └─ Building,8.49,8.49,8.49,8.77,8.78,8.78,25.88,31.16,31.16,21.60,89.26,89.26,
  └─ Plant Machinery,37.91,40.95,48.99,56.00,55.03,55.69,63.36,65.64,76.36,79.22,78.46,65.09,
  └─ Computers,0.00,0.00,0.00,71.61,85.28,96.82,108.34,118.24,112.63,109.36,114.05,117.53,
  └─ Furniture n fittings,6.19,5.44,6.02,6.54,6.84,6.89,10.61,9.28,9.29,6.25,6.17,5.86,
  └─ Vehicles,1.51,1.51,1.04,0.95,0.72,0.59,0.45,0.18,0.00,0.00,0.00,0.00,
  └─ Intangible Assets,47.04,46.05,41.80,26.77,28.75,27.96,29.61,32.90,30.53,33.15,0.00,0.00,30.77
  └─ Other fixed assets,56.43,60.73,70.37,0.00,-0.01,0.00,39.03,28.19,16.36,9.60,0.72,37.55,
  └─ Gross Block,157.57,163.17,176.71,170.64,185.39,196.73,277.28,285.59,276.33,259.18,288.66,315.29,
  └─ Accumulated Depreciation,78.55,88.01,99.82,108.28,116.28,126.01,140.44,160.76,174.97,172.32,225.60,233.48,
CWIP,1,0,0,1,0,1,6,9,2,4,6,15,0
Investments,34,37,24,41,36,17,15,27,52,60,63,77,47
Other Assets,102,98,116,143,149,185,212,183,200,219,279,276,271
  └─ Trade receivables,38,37,39,66,56,79,76,64,68,77,77,89,61
  └─ Cash Equivalents,23,22,27,24,28,26,60,51,64,56,106,79,71
  └─ Loans n Advances,4,3,4,5,6,10,6,9,9,14,17,19,4
  └─ Other asset items,37,37,46,48,60,71,69,60,58,72,79,88,135
Total Assets,216,211,217,248,255,274,370,343,355,369,411,449,462
