Metric,Dec 2005,Dec 2006
Equity Capital,40,40
Reserves,250,294
Borrowings,120,112
  └─ Other Borrowings,120,112
Other Liabilities,436,468
  └─ Trade Payables,162,162
  └─ Other liability items,275,306
Total Liabilities,846,914
Fixed Assets,161,153
  └─ Land,2,6
  └─ Building,83,86
  └─ Plant Machinery,172,179
  └─ Equipments,37,34
  └─ Computers,4,4
  └─ Furniture n fittings,13,13
  └─ Vehicles,13,15
  └─ Intangible Assets,11,11
  └─ Gross Block,334,347
  └─ Accumulated Depreciation,173,195
CWIP,8,4
Investments,4,4
Other Assets,674,754
  └─ Inventories,178,191
  └─ Trade receivables,171,216
    └─ Receivables over 6m,31,27
    └─ Receivables under 6m,168,214
    └─ Prov for Doubtful,-28,-25
  └─ Cash Equivalents,32,27
  └─ Loans n Advances,241,274
  └─ Other asset items,52,45
Total Assets,846,914
