Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Equity Capital,10.20,10.20,10.20,10.20,10.20
Reserves,7.75,10.61,11.44,6.35,6.59
Borrowings,7.72,9.08,15.97,15.86,12.97
  └─ Long term Borrowings,0.54,0.31,4.87,5.36,4.34
  └─ Short term Borrowings,6.95,8.77,11.11,10.49,8.63
  └─ Other Borrowings,0.23,0.00,-0.01,0.01,
Other Liabilities,5.27,7.74,13.63,13.60,13.85
  └─ Trade Payables,3.11,5.05,8.39,7.37,6.90
  └─ Advance from Customers,0.00,1.05,2.07,2.76,
  └─ Other liability items,2.16,1.64,3.17,3.47,6.95
Total Liabilities,30.94,37.63,51.24,46.01,43.61
Fixed Assets,4.88,9.11,10.61,16.26,15.25
  └─ Land,0.14,0.14,2.09,2.80,
  └─ Building,1.82,6.47,6.64,13.46,
  └─ Plant Machinery,6.62,7.20,7.58,7.79,
  └─ Equipments,0.67,0.70,0.68,0.69,
  └─ Furniture n fittings,0.07,0.18,0.18,0.18,
  └─ Vehicles,1.33,1.15,1.15,1.15,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.08
  └─ Other fixed assets,0.90,0.89,1.36,1.36,
  └─ Gross Block,11.55,16.73,19.68,27.43,
  └─ Accumulated Depreciation,6.68,7.62,9.08,11.17,
CWIP,3.19,0.02,5.98,0.00,0.00
Investments,0.08,0.07,0.09,0.05,0.05
Other Assets,22.79,28.43,34.56,29.70,28.31
  └─ Inventories,12.67,17.86,20.66,16.79,18.59
  └─ Trade receivables,6.62,6.34,5.14,9.25,4.00
    └─ Receivables over 6m,0.14,0.52,3.28,2.82,
    └─ Receivables under 6m,6.48,5.82,1.86,6.44,
  └─ Cash Equivalents,2.23,2.23,3.48,0.73,2.89
  └─ Loans n Advances,0.41,1.10,2.00,0.95,0.51
  └─ Other asset items,0.86,0.90,3.28,1.98,2.32
Total Assets,30.94,37.63,51.24,46.01,43.61
