Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,2,3,3,10,10,10,13,13,13,13
Reserves,9,18,28,23,21,25,77,115,127,133
Borrowings,0,2,3,4,5,3,3,13,17,20
  └─ Long term Borrowings,-0.00,0.40,0.31,0.21,0.70,0.36,-0.00,11.43,10.58,9.04
  └─ Short term Borrowings,0.46,1.72,2.70,4.08,4.02,2.20,2.95,1.42,6.60,10.59
  └─ Other Borrowings,-0.00,0.09,0.09,0.10,-0.00,0.01,-0.00,-0.00,-0.00,
Other Liabilities,14,16,17,23,26,42,35,49,44,48
  └─ Trade Payables,10.55,11.95,12.61,17.02,16.81,26.08,17.21,31.60,24.52,27.41
  └─ Advance from Customers,1.12,1.08,1.40,1.69,1.61,5.43,2.55,3.00,3.01,
  └─ Other liability items,2.04,3.46,2.77,4.31,7.43,10.26,15.10,14.15,16.71,20.86
Total Liabilities,26,40,51,61,62,80,128,190,202,214
Fixed Assets,2,3,13,13,15,15,21,21,38,38
  └─ Building,0.00,1.09,5.63,5.95,0.00,6.13,6.13,6.22,9.72,
  └─ Plant Machinery,0.00,0.18,4.49,5.62,0.00,8.04,14.18,18.96,33.25,
  └─ Equipments,0.00,0.42,0.59,1.08,0.00,0.89,0.89,0.86,1.07,
  └─ Computers,0.00,0.98,1.58,2.49,0.00,2.95,1.03,2.22,3.59,
  └─ Furniture n fittings,0.00,2.10,4.93,5.40,0.00,4.83,4.75,4.94,8.08,
  └─ Vehicles,0.00,1.04,1.15,1.06,0.00,0.81,0.81,2.09,2.42,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24
  └─ Other fixed assets,2.63,0.00,0.00,0.00,15.36,4.23,6.87,4.83,3.67,
  └─ Gross Block,2.63,5.81,18.37,21.60,15.36,27.88,34.66,40.12,61.80,
  └─ Accumulated Depreciation,0.36,2.56,4.90,8.33,0.00,13.28,14.02,18.66,23.46,
CWIP,0,4,1,0,1,1,2,19,22,32
Investments,0,0,0,0,0,0,11,6,3,4
Other Assets,24,33,37,47,46,64,95,144,138,141
  └─ Inventories,6,8,13,16,18,24,39,44,48,53
  └─ Trade receivables,14,18,19,25,17,25,32,86,69,58
    └─ Receivables over 6m,3,2,2,3,6,5,4,87,71,
    └─ Receivables under 6m,10,16,17,23,12,22,30,0,0,
    └─ Prov for Doubtful,0,0,-0,-1,-1,-1,-2,-1,-2,
  └─ Cash Equivalents,2,3,1,1,1,1,7,3,6,10
  └─ Loans n Advances,1,1,2,1,3,6,10,8,9,3
  └─ Other asset items,1,3,3,4,6,9,7,4,7,18
Total Assets,26,40,51,61,62,80,128,190,202,214
