Metric,Mar 2015,Mar 2016,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,30,46,58,60,60,65,63,64,64,64
Reserves,354,2751,5667,8045,6474,14087,12952,13263,14963,15962
Borrowings,0,15,932,428,612,222,223,177,160,194
  └─ Short term Borrowings,,,,208,545,0,2,0,5,0
  └─ Lease Liabilities,,,,219,67,221,221,177,156,194
  └─ Other Borrowings,0,15,932,1,0,0,0,0,0,
Other Liabilities,316,637,2107,1769,2004,3618,4727,5190,6261,7695
  └─ Non controlling int,0,0,86,-14,-19,-22,-23,-28,-30,2
  └─ Trade Payables,141,264,736,612,605,751,859,684,741,867
  └─ Other liability items,176,373,1284,1171,1417,2889,3891,4534,5549,6826
Total Liabilities,701,3450,8764,10302,9151,17991,17966,18693,21448,23915
Fixed Assets,47,81,841,594,491,914,1209,1247,890,910
  └─ Land,0.00,0.00,85.10,85.10,84.40,84.40,84.40,84.40,84.40,
  └─ Building,6.03,19.59,32.40,34.90,24.70,26.50,354.10,317.50,321.60,
  └─ Plant Machinery,0.00,0.00,0.40,126.50,262.20,667.90,1312.60,2034.50,2338.20,
  └─ Equipments,2.80,9.43,255.90,253.10,135.70,328.90,31.10,33.20,29.00,
  └─ Computers,128.39,149.81,303.50,345.30,373.90,423.10,401.40,302.20,265.90,
  └─ Furniture n fittings,3.61,6.28,10.20,10.00,6.90,5.20,4.80,4.60,3.30,
  └─ Vehicles,0.90,0.99,1.50,1.50,1.10,1.10,1.00,1.00,1.20,
  └─ Intangible Assets,0.00,0.00,457.90,457.70,457.70,457.70,412.90,457.70,413.40,42.00
  └─ Other fixed assets,44.78,49.40,84.60,92.10,98.50,84.40,98.80,139.10,147.90,
  └─ Gross Block,186.51,235.50,1231.50,1406.20,1445.10,2079.20,2701.10,3374.20,3604.90,
  └─ Accumulated Depreciation,139.03,154.49,390.40,812.70,953.80,1165.30,1492.30,2126.90,2715.30,
CWIP,11,59,56,15,24,12,11,14,16,7
Investments,112,2308,2849,3740,413,1230,2697,4628,4172,4501
Other Assets,530,1002,5018,5954,8223,15836,14048,12804,16370,18497
  └─ Trade receivables,89,125,258,301,471,746,1238,1651,1297,1186
    └─ Receivables over 6m,7,10,0,0,0,0,197,295,515,
    └─ Receivables under 6m,82,116,343,417,628,908,1236,1617,1374,
    └─ Prov for Doubtful,0,0,-85,-116,-157,-162,-195,-262,-593,
  └─ Cash Equivalents,159,475,461,540,2876,5202,7040,6800,11557,13025
  └─ Loans n Advances,4,17,2790,1617,1921,3770,3705,2380,2172,451
  └─ Other asset items,279,385,1508,3496,2954,6117,2066,1973,1344,3835
Total Assets,701,3450,8764,10302,9151,17991,17966,18693,21448,23915
