Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,21,21,21,21,21,21,21,21,22,22,24,24,
Reserves,155,162,149,132,110,101,96,134,150,170,175,185,
Borrowings,341,348,234,228,208,163,161,146,125,103,95,85,
  └─ Long term Borrowings,1,96,230,213,189,144,129,109,82,78,17,53,
  └─ Short term Borrowings,264,196,4,0,4,5,26,31,36,17,69,23,
  └─ Lease Liabilities,0,0,0,0,0,0,7,6,6,8,9,9,
  └─ Preference Capital,55,55,0,55,55,55,55,55,50,55,0,0,
  └─ Other Borrowings,21,2,0,-39,-39,-41,-55,-55,-50,-55,0,,
Other Liabilities,524,237,170,98,93,102,92,19,21,24,25,24,
  └─ Non controlling int,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,
  └─ Trade Payables,444.01,197.13,136.82,87.55,80.80,82.09,80.17,0.99,0.66,0.69,1.09,1.43,
  └─ Advance from Customers,6.25,1.99,2.03,2.03,2.39,3.65,1.45,2.99,3.94,3.37,3.47,,
  └─ Other liability items,73.39,37.80,30.71,8.27,9.74,16.48,10.04,14.95,16.47,20.13,20.70,22.96,
Total Liabilities,1040,768,573,479,432,387,370,319,317,319,319,318,
Fixed Assets,152,259,303,278,268,265,248,233,234,241,245,239,
  └─ Land,54.75,59.53,56.26,54.38,52.02,63.89,63.89,63.89,69.23,74.28,74.28,,
  └─ Building,104.95,91.68,105.43,105.54,109.05,113.22,114.82,115.23,119.46,123.29,127.27,,
  └─ Plant Machinery,152.97,250.11,129.51,129.43,139.14,140.28,140.44,140.72,146.77,155.21,165.34,,
  └─ Equipments,0.57,0.70,2.99,3.17,3.24,3.24,3.35,3.46,3.72,3.94,4.87,,
  └─ Furniture n fittings,5.45,5.46,10.80,10.90,10.91,10.92,10.92,10.92,10.93,10.95,12.82,,
  └─ Vehicles,7.44,7.45,2.29,2.36,2.85,2.80,2.96,3.37,3.99,6.09,7.67,,
  └─ Intangible Assets,0.02,16.15,19.09,19.09,19.09,19.09,19.09,19.09,19.09,19.09,16.15,16.16,
  └─ Other fixed assets,0.00,13.30,-0.01,0.07,0.36,0.36,0.40,0.40,0.42,0.42,3.13,,
  └─ Gross Block,326.15,444.38,326.36,324.94,336.66,353.80,355.87,357.08,373.61,393.27,411.53,,
  └─ Accumulated Depreciation,174.02,185.08,23.22,47.16,68.66,88.85,107.74,124.05,139.20,152.21,166.47,,
CWIP,6,12,1,11,6,3,2,5,5,8,6,8,
Investments,82,55,42,41,13,10,11,11,11,11,10,9,
Other Assets,800,441,227,149,145,108,109,70,67,60,58,61,
  └─ Inventories,530.51,199.02,14.28,15.81,11.37,0.37,0.18,0.28,0.19,0.44,0.08,0.00,
  └─ Trade receivables,123.99,147.88,118.20,33.81,17.11,31.15,36.51,16.53,14.00,13.41,11.16,5.96,
    └─ Receivables over 6m,15.18,17.84,0.00,0.00,0.00,0.00,63.74,1.78,2.85,2.80,6.87,,5.28
    └─ Receivables under 6m,108.81,130.04,127.12,56.94,51.45,73.22,16.01,15.64,11.50,10.94,4.62,,282.39
    └─ Prov for Doubtful,0.00,0.00,-8.92,-23.13,-34.34,-42.07,-43.24,-0.89,-0.34,-0.33,-0.32,,0.00
  └─ Cash Equivalents,22.95,17.03,21.62,12.78,3.91,5.54,7.56,20.40,24.70,18.64,18.04,21.31,
  └─ Loans n Advances,7.24,2.99,5.48,13.07,17.59,5.62,0.08,2.33,3.80,2.52,0.24,15.35,
  └─ Other asset items,115.08,74.47,67.02,73.50,94.56,65.69,64.31,30.69,24.60,24.60,28.33,18.64,
Total Assets,1040,768,573,479,432,387,370,319,317,319,319,318,
