Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,270,270,270,270,270,270,320,320,320,320,320,320,
Reserves,14048,11363,12944,16129,18035,19296,22003,22122,28468,32036,35521,39148,
Borrowings,40607,38849,48815,48589,48506,51936,46708,51195,52923,53689,62866,76141,
  └─ Long term Borrowings,32393,22414,25143,0,31139,32695,30045,32730,30708,37392,44130,61609,
  └─ Short term Borrowings,4587,14589,16280,0,13875,11844,13126,14860,18266,12088,14016,9514,
  └─ Lease Liabilities,0,0,0,0,0,3560,3537,3605,3949,4210,4720,5019,
  └─ Preference Capital,0,0,0,245,0,0,0,0,0,0,0,0,
  └─ Other Borrowings,3627,1846,7393,48344,3491,3836,0,0,0,0,0,,
Other Liabilities,20260,19575,20799,16903,17262,18172,29625,38913,46386,53010,57487,59563,
  └─ Non controlling int,2493,1750,1869,2015,2167,2332,2927,3587,5417,5977,6765,8071,
  └─ Trade Payables,5235,4401,5529,5610,5481,5095,7146,10460,7407,14093,13984,10786,
  └─ Advance from Customers,377,220,413,559,485,782,1209,1180,2458,2197,1579,,
  └─ Other liability items,12154,13204,12989,8718,9129,9962,18342,23687,31104,30742,35158,40706,
Total Liabilities,75185,70057,82829,81892,84073,89674,98655,112550,128096,139054,156193,175172,
Fixed Assets,44726,36414,46595,44656,44305,47666,52179,57389,61747,67210,78374,87293,
  └─ Land,1431,919,1079,974,1032,2071,2186,2284,2672,3352,4087,,
  └─ Building,2927,2696,2792,2906,2938,3058,3826,4043,4432,4503,5615,,
  └─ Plant Machinery,41848,36484,44014,43914,44924,47425,48607,52664,55799,59919,68397,,
  └─ Equipments,6129,4941,5317,5812,6364,6967,11790,15200,18485,22097,26523,,
  └─ Furniture n fittings,127,133,137,122,120,118,134,144,167,187,207,,
  └─ Railway sidings,100,94,96,99,103,104,0,0,0,0,0,,
  └─ Vehicles,250,110,220,250,245,235,228,225,247,300,327,,
  └─ Intangible Assets,6706,99,1768,1666,1654,1646,1800,1864,1865,1903,1807,2897,
  └─ Other fixed assets,5404,2192,4211,4265,4233,5441,5584,5876,6229,6519,6722,,
  └─ Gross Block,64925,47667,59634,60008,61613,67064,74156,82301,89897,98781,113686,,
  └─ Accumulated Depreciation,20199,11254,13040,15352,17308,19398,21976,24911,28150,31571,35311,,
CWIP,3323,1345,2178,1653,2576,1612,3270,4635,5376,11561,12679,14595,
Investments,3445,11785,11873,12429,13542,14535,13149,14160,16670,16316,16316,16575,
Other Assets,23692,20513,22184,23154,23651,25861,30056,36365,44303,43968,48824,56709,
  └─ Inventories,1844,1373,1600,1623,1706,1752,1886,4232,3943,4420,4572,5108,
  └─ Trade receivables,5564,3540,3832,2789,4445,4426,5200,5980,6952,7402,5710,4424,
    └─ Receivables over 6m,414,0,0,0,0,0,0,2402,2949,3176,3266,,322
    └─ Receivables under 6m,5375,3805,4143,3112,4837,4859,5638,4151,5019,5729,4407,,4435
    └─ Prov for Doubtful,-225,-265,-311,-323,-391,-434,-438,-574,-1016,-1503,-1964,,-214
  └─ Cash Equivalents,1483,663,954,1186,787,2094,5871,6641,11207,9152,11751,13644,
  └─ Loans n Advances,400,291,395,490,501,552,609,887,1079,1134,994,6017,
  └─ Other asset items,14400,14644,15402,17066,16211,17037,16491,18627,21123,21861,25797,27517,
Total Assets,75185,70057,82829,81892,84073,89674,98655,112550,128096,139054,156193,175172,
