Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,1,1,6,6,13
Reserves,0,5,36,28,35
Borrowings,3,6,9,40,55
  └─ Long term Borrowings,0,1,8,5,3
  └─ Short term Borrowings,3,5,1,35,52
  └─ Other Borrowings,-0,0,0,0,
Other Liabilities,3,8,7,10,13
  └─ Trade Payables,1.02,3.23,2.70,4.35,5.43
  └─ Advance from Customers,0.02,0.03,0.00,0.00,
  └─ Other liability items,2.19,4.54,4.26,5.21,7.68
Total Liabilities,8,20,58,84,116
Fixed Assets,4,4,9,20,13
  └─ Plant Machinery,0.03,0.03,0.03,-0.00,
  └─ Equipments,0.49,0.58,0.65,-0.00,
  └─ Computers,5.17,1.60,1.60,-0.00,
  └─ Furniture n fittings,2.07,2.30,2.39,-0.00,
  └─ Vehicles,1.65,1.59,2.34,-0.00,
  └─ Intangible Assets,-0.00,-0.00,-0.00,-0.00,9.86
  └─ Other fixed assets,1.41,5.11,10.30,19.90,
  └─ Gross Block,10.82,11.21,17.31,19.90,
  └─ Accumulated Depreciation,6.65,7.30,8.35,-0.00,
CWIP,0,2,6,0,0
Investments,0,0,1,0,4
Other Assets,4,14,41,64,99
  └─ Trade receivables,1,6,25,40,67
    └─ Receivables over 6m,0.00,0.08,0.57,32.71,
    └─ Receivables under 6m,1.39,5.91,24.07,6.85,
  └─ Cash Equivalents,0,0,1,0,0
  └─ Loans n Advances,0,0,0,0,8
  └─ Other asset items,3,7,16,24,25
Total Assets,8,20,58,84,116
