Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,6,6,6,6,6,6,6,6,6,6
Reserves,414,516,599,694,764,865,1009,1166,1339,1347
Borrowings,67,102,96,91,112,100,45,53,44,67
  └─ Long term Borrowings,36.91,47.78,45.90,39.55,43.45,0.00,5.54,4.17,2.58,0.82
  └─ Short term Borrowings,20.85,45.68,45.91,44.69,40.99,0.00,21.14,21.18,17.88,17.29
  └─ Lease Liabilities,0.00,0.00,0.00,0.00,19.67,0.00,18.53,27.74,24.00,49.25
  └─ Preference Capital,0.00,0.00,20.77,20.77,20.77,20.77,0.00,0.00,0.00,0.00
  └─ Other Borrowings,8.90,8.59,-16.42,-14.41,-13.26,79.26,0.00,0.00,0.01,0.00
Other Liabilities,316,320,343,399,337,406,491,451,455,442
  └─ Non controlling int,16,4,7,10,8,12,14,11,13,15
  └─ Trade Payables,66,85,95,111,95,155,189,207,179,188
  └─ Advance from Customers,0,6,8,0,0,0,0,13,12,11
  └─ Other liability items,234,226,234,278,234,239,288,221,251,229
Total Liabilities,804,945,1045,1191,1219,1378,1552,1677,1846,1863
Fixed Assets,230,345,360,385,439,415,337,339,374,399
  └─ Land,9,11,12,15,17,20,15,15,38,38
  └─ Building,84,118,128,153,206,203,189,208,215,249
  └─ Plant Machinery,199,285,309,314,334,341,285,292,304,309
  └─ Equipments,0,6,7,8,9,10,7,7,8,9
  └─ Computers,0,9,10,11,12,12,13,14,14,15
  └─ Furniture n fittings,14,9,11,22,29,30,28,30,35,35
  └─ Vehicles,6,8,9,10,10,10,9,11,10,11
  └─ Other fixed assets,3,4,5,5,6,6,5,5,8,8
  └─ Gross Block,315,451,491,539,624,633,551,582,632,674
  └─ Accumulated Depreciation,85,106,131,153,185,217,214,242,258,275
CWIP,65,0,5,20,1,1,1,17,13,11
Investments,47,91,109,178,228,474,562,663,802,697
Other Assets,461,509,572,608,552,487,652,657,656,757
  └─ Inventories,136,149,194,216,243,200,294,383,364,410
  └─ Trade receivables,188,221,268,298,223,209,165,189,203,271
    └─ Receivables over 6m,14,0,0,0,0,0,14,34,19,19
    └─ Receivables under 6m,175,221,270,300,229,219,164,178,197,266
    └─ Prov for Doubtful,0,0,-2,-2,-6,-9,-13,-23,-14,-14
  └─ Cash Equivalents,60,39,24,11,2,10,24,26,37,32
  └─ Loans n Advances,0,2,3,8,9,8,6,30,30,21
  └─ Other asset items,77,98,83,75,75,59,163,29,23,23
Total Assets,804,945,1045,1191,1219,1378,1552,1677,1846,1863
