Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,18,18,18,18,18,18,18,18
Reserves,270,215,183,190,207,221,233,149
Borrowings,109,287,244,242,310,321,295,249
  └─ Long term Borrowings,0,0,19,15,12,6,11,14
  └─ Short term Borrowings,109,116,82,112,107,116,103,108
  └─ Lease Liabilities,0,171,138,116,191,198,181,127
  └─ Other Borrowings,0,0,5,0,0,0,0,
Other Liabilities,153,178,185,201,200,171,214,130
  └─ Trade Payables,132,158,167,180,181,156,197,113
  └─ Advance from Customers,2,4,4,5,3,1,1,
  └─ Other liability items,19,16,15,17,17,14,16,18
Total Liabilities,550,698,630,651,735,732,761,546
Fixed Assets,132,277,230,201,244,244,226,155
  └─ Land,0.00,11.98,11.98,11.98,3.97,3.97,3.97,
  └─ Building,96.92,262.24,245.34,227.56,298.11,318.49,316.07,
  └─ Plant Machinery,59.13,64.12,65.38,68.39,67.98,66.71,67.92,
  └─ Equipments,3.36,3.95,4.02,4.24,3.96,3.71,3.66,
  └─ Furniture n fittings,16.49,17.90,17.46,17.32,20.06,20.96,21.72,
  └─ Vehicles,0.99,1.05,1.05,1.05,1.05,1.05,1.05,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.73
  └─ Other fixed assets,2.36,1.87,0.99,0.67,0.43,1.22,1.31,
  └─ Gross Block,179.25,363.11,346.22,331.21,395.56,416.11,415.70,
  └─ Accumulated Depreciation,47.60,86.02,116.48,129.84,151.99,172.56,189.52,
CWIP,2,1,1,1,1,0,0,0
Investments,0,0,0,0,0,0,0,0
Other Assets,416,421,400,449,491,488,535,392
  └─ Inventories,155,170,141,168,180,194,217,129
  └─ Trade receivables,134,119,121,133,188,185,221,186
    └─ Receivables over 6m,0,0,47,84,85,59,80,
    └─ Receivables under 6m,137,124,79,55,109,132,151,
    └─ Prov for Doubtful,-3,-5,-6,-6,-6,-6,-10,
  └─ Cash Equivalents,9,8,4,11,14,17,13,10
  └─ Loans n Advances,6,6,5,5,5,5,7,18
  └─ Other asset items,113,119,130,132,103,87,77,48
Total Assets,550,698,630,651,735,732,761,546
