Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,10,10,10,11,11,11,12,13,15,20,20
Reserves,56,67,103,136,163,194,246,405,561,1237,1313
Borrowings,142,180,255,272,312,317,393,273,402,192,268
  └─ Long term Borrowings,32,49,70,72,89,116,147,94,106,25,66
  └─ Short term Borrowings,103,120,172,187,207,179,218,141,296,166,176
  └─ Lease Liabilities,0,0,0,0,0,0,0,0,0,0,26
  └─ Other Borrowings,6,11,12,14,17,22,29,38,0,0,
Other Liabilities,71,103,80,86,82,77,117,224,200,307,423
  └─ Trade Payables,37,58,45,59,56,49,80,174,157,250,368
  └─ Advance from Customers,6,7,2,1,1,0,1,4,0,0,
  └─ Other liability items,28,39,32,26,25,27,37,46,43,57,55
Total Liabilities,279,360,449,505,568,599,769,916,1179,1756,2024
Fixed Assets,55,81,124,169,173,202,239,287,355,392,634
  └─ Land,8.49,11.73,11.73,16.43,22.15,27.15,32.47,34.83,45.15,60.71,
  └─ Building,18.65,21.68,43.09,45.06,45.08,54.31,55.30,77.26,93.89,96.26,
  └─ Plant Machinery,57.22,51.50,75.49,115.80,118.63,141.03,179.27,213.55,267.09,302.98,
  └─ Equipments,1.09,0.47,0.52,0.67,0.80,0.94,1.12,1.31,1.54,1.79,
  └─ Computers,0.36,0.17,0.18,0.26,0.35,0.43,0.57,0.69,0.82,0.90,
  └─ Furniture n fittings,1.80,1.05,1.19,2.03,2.72,2.85,2.89,3.37,3.38,5.96,
  └─ Vehicles,4.69,1.43,2.57,4.98,5.53,6.35,7.52,8.75,10.98,12.62,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.20
  └─ Other fixed assets,0.69,0.14,0.16,0.21,0.21,0.22,0.24,0.87,1.06,1.10,
  └─ Gross Block,92.99,88.17,134.93,185.44,195.47,233.28,279.38,340.63,423.91,482.32,
  └─ Accumulated Depreciation,37.82,6.94,10.94,16.25,22.45,30.78,40.40,53.52,69.01,89.84,
CWIP,7,8,17,4,29,30,29,36,62,194,103
Investments,0,0,0,0,0,0,0,2,3,4,5
Other Assets,218,271,307,332,365,367,501,590,759,1166,1282
  └─ Inventories,102,124,154,151,179,188,259,307,347,384,566
  └─ Trade receivables,68,96,104,137,137,121,167,186,280,303,449
    └─ Receivables over 6m,2,0,0,0,0,118,161,175,274,297,
    └─ Receivables under 6m,66,96,104,137,137,3,6,17,6,5,
    └─ Prov for Doubtful,0,0,0,0,0,0,0,-7,0,0,
  └─ Cash Equivalents,13,16,13,16,19,17,17,21,26,183,87
  └─ Loans n Advances,0,18,17,18,18,28,27,9,29,146,11
  └─ Other asset items,36,16,19,10,12,13,30,68,78,150,170
Total Assets,279,360,449,505,568,599,769,916,1179,1756,2024
