Metric,Mar 2020,Mar 2021,Mar 2022
Equity Capital,4,4,4
Reserves,45,47,48
Borrowings,39,52,67
  └─ Long term Borrowings,24.06,30.41,31.59
  └─ Short term Borrowings,15.11,21.41,35.24
  └─ Other Borrowings,-0.01,0.01,0.00
Other Liabilities,38,39,61
  └─ Non controlling int,1.80,1.74,1.79
  └─ Trade Payables,27.97,26.74,46.84
  └─ Advance from Customers,0.54,1.17,1.07
  └─ Other liability items,7.61,9.83,11.31
Total Liabilities,126,142,180
Fixed Assets,22,23,30
  └─ Land,13.91,14.87,14.87
  └─ Building,0.58,0.58,0.58
  └─ Plant Machinery,12.04,11.74,21.04
  └─ Equipments,0.32,0.34,0.38
  └─ Computers,0.37,0.75,0.57
  └─ Furniture n fittings,0.59,0.59,0.68
  └─ Vehicles,0.54,0.54,0.62
  └─ Other fixed assets,0.01,0.12,0.13
  └─ Gross Block,28.36,29.53,38.87
  └─ Accumulated Depreciation,6.04,7.00,9.04
CWIP,0,0,3
Investments,0,0,0
Other Assets,103,119,146
  └─ Inventories,36,43,67
  └─ Trade receivables,59,60,65
  └─ Cash Equivalents,1,1,2
  └─ Other asset items,7,15,13
Total Assets,126,142,180
