Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.05,10,10,10,10,10,10,10,10,10,10
Reserves,-0,42,47,241,152,268,538,375,473,577,474
Borrowings,0,43,6,6,10,23,23,22,30,24,0
  └─ Long term Borrowings,0.00,0.67,0.00,2.88,2.98,0.00,0.00,0.00,0.00,0.00,0.10
  └─ Short term Borrowings,0.00,40.91,4.55,2.64,7.28,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Preference Capital,0.00,1.30,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other Borrowings,0.00,0.00,0.00,-0.01,0.00,23.27,23.30,22.29,30.21,24.39,
Other Liabilities,0,8,8,8,13,13,30,27,47,78,40
  └─ Non controlling int,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.22,7.11,16.44,0.00
  └─ Trade Payables,0.00,5.19,4.44,5.23,9.79,9.11,10.42,9.54,9.91,9.57,0.05
  └─ Advance from Customers,0.00,0.00,0.00,0.26,0.62,1.35,0.73,0.94,0.74,0.53,
  └─ Other liability items,0.00,2.65,4.03,2.85,3.00,2.71,19.15,3.35,29.09,51.82,40.33
Total Liabilities,0,103,71,265,186,314,602,434,560,690,524
Fixed Assets,0,3,3,3,3,47,48,47,46,47,2
  └─ Land,0.00,1.18,1.18,1.08,1.08,41.39,41.39,41.39,41.39,41.39,
  └─ Building,0.00,1.37,1.37,0.79,0.79,1.98,2.04,2.04,2.04,2.04,
  └─ Plant Machinery,0.00,1.60,1.60,0.70,0.72,3.18,3.37,3.48,3.49,3.80,
  └─ Equipments,0.00,0.01,0.00,0.00,0.02,0.03,0.03,0.03,0.03,0.05,
  └─ Computers,0.00,0.13,0.13,0.04,0.20,0.30,0.32,0.33,0.33,0.36,
  └─ Furniture n fittings,0.00,0.23,0.23,0.02,0.03,0.04,0.04,0.04,0.04,0.05,
  └─ Vehicles,0.00,0.19,0.24,0.10,0.06,0.06,0.06,0.06,0.06,0.06,
  └─ Other fixed assets,0.00,0.01,0.03,0.48,0.85,0.84,1.88,1.88,1.88,3.08,
  └─ Gross Block,0.00,4.72,4.78,3.21,3.75,47.82,49.13,49.25,49.26,50.83,
  └─ Accumulated Depreciation,0.00,1.50,1.68,0.17,0.47,0.82,1.28,2.08,2.79,3.39,
CWIP,0,0,0,0,0,1,0,0,0,0,1
Investments,0,39,34,219,134,222,521,349,486,609,511
Other Assets,0,60,34,43,49,45,33,38,28,33,11
  └─ Inventories,0.00,12.67,12.32,13.38,20.54,15.65,15.72,17.98,10.34,16.45,0.00
  └─ Trade receivables,0.00,3.54,4.36,5.56,7.41,7.54,6.87,2.49,4.35,3.28,0.00
  └─ Cash Equivalents,0.01,3.74,4.88,13.28,7.25,6.68,5.12,12.05,10.34,10.63,9.85
  └─ Loans n Advances,0.00,39.01,10.51,1.47,2.73,4.98,3.44,3.31,1.42,1.78,0.00
  └─ Other asset items,0.00,1.17,1.78,9.72,10.93,9.80,1.71,1.96,1.13,1.30,0.99
Total Assets,0,103,71,265,186,314,602,434,560,690,524
