Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,14,14,14,14,14,14,14,14,14,14,14,14,
Reserves,437,457,510,550,602,607,592,620,676,707,716,766,
Borrowings,186,227,236,272,379,418,554,599,754,688,697,728,
  └─ Long term Borrowings,88,92,67,63,165,210,241,176,377,307,332,406,
  └─ Short term Borrowings,58,86,115,135,162,164,301,392,353,348,341,296,
  └─ Lease Liabilities,0,0,0,0,0,0,12,31,25,34,24,25,
  └─ Other Borrowings,40,50,54,74,52,44,0,0,0,0,0,,
Other Liabilities,241,205,200,234,323,381,477,548,492,479,566,635,
  └─ Non controlling int,4,4,3,3,4,3,3,0,2,3,3,5,
  └─ Trade Payables,141,130,129,158,194,253,362,445,386,377,432,471,
  └─ Advance from Customers,11,10,6,7,34,23,11,16,0,0,0,,
  └─ Other liability items,86,61,62,66,90,102,100,87,103,99,131,159,
Total Liabilities,878,902,960,1069,1317,1420,1636,1781,1936,1887,1993,2142,
Fixed Assets,399,388,428,452,605,692,733,825,1019,1070,1095,1217,
  └─ Land,42.97,44.15,25.64,36.33,56.72,58.61,53.95,54.70,116.41,116.43,122.04,,
  └─ Building,119.40,119.59,116.41,127.13,146.73,166.57,161.76,173.61,203.70,205.88,207.23,,
  └─ Plant Machinery,691.84,721.06,298.34,340.64,481.85,592.39,697.34,814.76,1004.27,1102.21,1180.67,,
  └─ Equipments,82.02,83.30,22.31,31.75,46.22,61.91,70.55,108.01,121.20,157.08,188.97,,
  └─ Furniture n fittings,5.36,5.49,0.65,1.75,3.58,3.95,4.07,4.08,4.04,4.13,4.12,,
  └─ Vehicles,10.43,12.44,10.64,13.33,15.13,15.36,15.01,13.15,15.87,17.58,16.90,,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.70,
  └─ Other fixed assets,10.62,10.63,0.00,0.31,2.06,5.21,20.51,21.40,21.19,25.21,25.21,,
  └─ Gross Block,962.64,996.66,473.99,551.24,752.29,904.00,1023.19,1189.71,1486.68,1628.52,1745.14,,
  └─ Accumulated Depreciation,563.64,608.60,46.03,99.17,146.94,212.49,289.73,364.43,467.93,558.78,650.36,,
CWIP,34,70,44,63,80,63,63,88,79,89,124,162,
Investments,48,6,27,26,0,0,0,2,2,4,4,6,
Other Assets,397,439,460,528,632,665,840,865,835,725,770,757,
  └─ Inventories,109,120,110,129,161,185,264,290,281,286,308,282,
  └─ Trade receivables,147,143,165,229,272,266,352,360,395,333,370,352,
    └─ Receivables over 6m,11,10,0,0,0,0,27,10,1,72,68,,5
    └─ Receivables under 6m,135,134,166,229,272,267,325,351,395,262,303,,162
    └─ Prov for Doubtful,0,-1,-1,0,-0,-1,-0,-0,-1,-1,-1,,0
  └─ Cash Equivalents,5,7,5,12,27,17,21,26,36,22,20,16,
  └─ Loans n Advances,9,12,23,23,23,36,37,47,28,37,29,21,
  └─ Other asset items,127,157,157,136,149,161,165,141,95,47,43,86,
Total Assets,878,902,960,1069,1317,1420,1636,1781,1936,1887,1993,2142,
