Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Jun 2021
Equity Capital,9,9,18,25,25,25,25,25,29,98,98,123,
Reserves,21,26,30,90,107,112,113,116,163,133,184,354,
Borrowings,184,199,205,204,249,246,288,288,310,320,326,252,
  └─ Long term Borrowings,,,4,1,1,1,40,51,44,30,12,5,40
  └─ Short term Borrowings,,,175,178,226,223,226,214,243,268,291,246,226
  └─ Lease Liabilities,,,0,0,0,0,0,1,1,1,1,1,0
  └─ Preference Capital,,0,22,22,22,22,22,22,22,22,22,0,0
  └─ Other Borrowings,,199,4,3,0,0,0,0,0,0,0,,
Other Liabilities,73,41,72,115,49,46,54,85,70,240,298,360,
  └─ Non controlling int,,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Trade Payables,,33,63,108,42,38,50,66,29,152,232,322,69
  └─ Advance from Customers,,0,0,1,3,3,0,0,0,0,0,,
  └─ Other liability items,,8,9,6,4,4,4,19,40,88,66,37,12
Total Liabilities,287,275,325,433,430,429,480,514,571,791,906,1089,
Fixed Assets,30,27,25,24,23,22,20,19,16,16,16,13,
  └─ Land,,9.12,9.12,9.12,9.12,9.12,9.12,9.12,9.12,9.12,9.12,,
  └─ Building,,10.10,11.18,8.84,10.78,10.78,10.78,10.78,10.78,8.16,8.37,,
  └─ Plant Machinery,,9.91,11.92,6.61,13.01,13.52,13.74,13.79,13.89,8.56,9.49,,
  └─ Equipments,,0.85,0.96,0.63,1.29,1.33,1.35,1.38,1.42,0.94,1.01,,
  └─ Computers,,0.11,0.18,0.12,0.57,0.60,0.51,0.56,0.62,0.62,0.64,,
  └─ Furniture n fittings,,0.15,0.26,0.28,1.03,1.09,1.10,1.14,1.15,1.07,1.15,,
  └─ Vehicles,,0.68,1.23,0.60,1.62,1.74,1.78,1.77,1.76,1.21,1.21,,
  └─ Intangible Assets,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00
  └─ Other fixed assets,,0.03,-0.01,0.00,0.01,0.00,0.13,0.21,0.20,0.18,0.19,,
  └─ Gross Block,,30.95,34.84,26.20,37.43,38.18,38.51,38.75,38.94,29.86,31.18,,
  └─ Accumulated Depreciation,,3.70,9.72,2.53,14.56,16.64,18.56,20.20,22.89,14.28,15.43,,
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,
Investments,0,0,0,0,0,0,4,1,1,1,0,0,
Other Assets,257,248,300,409,407,407,456,494,554,775,891,1076,
  └─ Inventories,,159,224,280,297,193,244,221,273,359,507,545,244
  └─ Trade receivables,,85,66,97,90,196,202,218,176,188,247,336,213
    └─ Receivables over 6m,0,1,31,6,90,196,23,48,35,33,58,,
    └─ Receivables under 6m,21,84,34,90,0,0,178,171,141,154,189,,
  └─ Cash Equivalents,,2,0,16,1,2,1,0,0,0,1,5,1
  └─ Loans n Advances,,0,0,13,13,11,1,43,92,215,123,0,17
  └─ Other asset items,,2,10,3,7,6,8,11,12,13,12,189,8
Total Assets,287,275,325,433,430,429,480,514,571,791,906,1089,
