Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,562,642,642,642,642,642,642,642,642,642,642
Reserves,1180,1777,1297,1424,1473,1477,1622,1800,1896,2112,2437
Borrowing,6845,8123,10229,10918,9275,9174,7121,5122,3926,2861,1768
Other Liabilities,235,209,147,208,252,238,131,70,61,67,108
  └─ Trade Payables,4,4,5,3,7,3,2,2,2,6,1
  └─ Other liability items,231,205,142,205,245,236,129,68,59,61,107
Total Liabilities,8823,10752,12315,13193,11642,11532,9516,7634,6525,5683,4956
Fixed Assets,18,15,14,12,22,16,12,30,25,23,16
  └─ Land,0.00,0.00,0.00,0.00,0.04,0.04,0.04,0.04,0.04,0.04,
  └─ Building,3.42,3.42,4.68,4.68,20.43,20.43,20.43,29.37,30.32,30.20,
  └─ Plant Machinery,0.00,0.00,35.23,35.23,35.23,35.23,35.23,35.23,35.23,35.23,
  └─ Equipments,1.47,1.46,2.13,2.10,2.10,2.13,2.40,2.40,2.70,2.71,
  └─ Computers,1.22,1.35,1.60,1.74,1.80,1.80,2.46,2.52,2.57,4.96,
  └─ Furniture n fittings,0.80,0.80,1.00,1.00,1.00,1.00,1.15,1.12,1.08,1.07,
  └─ Vehicles,0.38,0.38,0.38,0.66,0.66,0.66,0.66,0.66,0.42,0.18,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83
  └─ Other fixed assets,37.83,37.82,2.63,2.66,2.64,2.82,2.86,2.86,2.96,4.11,
  └─ Gross Block,45.12,45.23,47.65,48.07,63.90,64.11,65.23,74.20,75.32,78.50,
  └─ Accumulated Depreciation,26.92,30.24,33.46,35.76,42.01,47.83,53.66,43.78,49.88,55.70,
CWIP,0,0,0,0,0,0,0,0,0,0,0
Investments,235,114,63,96,356,373,350,91,122,268,832
Other Assets,8570,10623,12238,13085,11264,11142,9155,7513,6377,5391,4109
  └─ Trade receivables,1,6,6,9,4,4,1,4,1,0,1
  └─ Cash Equivalents,25,35,58,39,433,855,957,590,1505,1112,1042
  └─ Loans n Advances,608,614,41,171,294,218,84,-1,22,45,3013
  └─ Other asset items,7936,9968,12133,12867,10533,10066,8113,6919,4850,4234,53
Total Assets,8823,10752,12315,13193,11642,11532,9516,7634,6525,5683,4956
