Metric,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Jun 2014
Equity Capital,22,22,22,28,28,29,29,29,31,33,36,36,
Reserves,20,22,16,21,15,-43,-54,-15,15,35,68,57,
Borrowings,137,121,126,113,96,141,163,130,75,59,39,49,
  └─ Long term Borrowings,28.92,25.31,35.77,4.93,79.28,126.10,151.36,62.49,63.79,42.91,19.21,22.99,
  └─ Short term Borrowings,59.85,59.95,50.23,45.82,16.26,14.41,10.50,67.12,7.92,13.66,18.72,25.37,
  └─ Lease Liabilities,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.29,2.92,2.08,1.26,0.51,
  └─ Preference Capital,1.09,1.09,0.00,0.87,0.90,0.64,0.71,0.78,1.08,1.08,1.08,0.00,
  └─ Other Borrowings,46.74,34.49,39.63,61.05,-0.01,0.16,-0.16,-0.24,-0.60,-0.95,-1.02,,
Other Liabilities,100,77,88,67,76,73,52,42,31,30,33,33,
  └─ Non controlling int,3.51,3.91,7.03,3.36,2.74,-0.77,0.70,0.15,0.23,0.11,0.03,-1.56,
  └─ Trade Payables,54.64,42.08,39.17,24.21,23.22,18.85,14.71,13.94,9.41,12.10,14.95,16.79,
  └─ Advance from Customers,5.14,3.20,3.56,4.82,14.12,4.91,1.98,4.91,0.97,0.56,1.31,,
  └─ Other liability items,36.90,27.44,38.66,34.65,36.35,50.20,35.08,22.83,20.37,17.14,17.12,18.05,
Total Liabilities,279,242,252,229,216,200,190,186,152,157,176,175,
Fixed Assets,122,104,133,116,108,105,98,94,68,58,85,87,
  └─ Land,11.41,11.41,29.93,29.93,29.93,29.93,29.93,31.13,17.52,17.52,17.52,,
  └─ Building,31.81,31.90,34.26,34.26,34.26,34.26,34.41,41.81,29.38,29.40,43.02,,
  └─ Plant Machinery,41.63,42.50,18.97,19.80,19.98,20.15,33.20,38.44,39.24,41.01,61.87,,
  └─ Equipments,0.62,0.55,0.07,0.20,0.21,0.21,0.20,0.15,0.18,1.83,1.87,,
  └─ Computers,1.84,1.82,0.29,0.75,0.76,0.80,0.85,0.39,0.48,0.54,0.65,,
  └─ Furniture n fittings,5.21,5.49,1.93,2.04,1.77,2.99,2.73,2.66,2.72,1.17,1.25,,
  └─ Vehicles,3.30,2.87,1.73,2.30,2.02,1.92,1.62,2.88,1.69,1.88,0.42,,
  └─ Intangible Assets,65.93,102.39,39.94,48.55,48.55,49.78,51.19,55.42,59.14,59.18,59.33,6.73,
  └─ Other fixed assets,51.76,1.48,17.07,17.48,65.33,48.33,48.37,4.47,7.61,5.22,5.47,,
  └─ Gross Block,213.51,200.41,144.19,155.31,202.81,188.37,202.50,177.35,157.96,157.75,191.40,,
  └─ Accumulated Depreciation,91.87,96.18,11.30,39.27,95.08,83.58,104.31,83.40,89.87,100.05,106.29,,
CWIP,27,30,24,28,31,28,26,18,16,23,1,2,
Investments,0,0,0,0,0,0,0,0,0,0,0,0,
Other Assets,130,107,94,85,77,68,66,74,67,76,90,86,
  └─ Inventories,19.25,10.81,13.24,11.20,7.00,6.73,4.31,8.20,6.95,9.57,12.47,13.63,
  └─ Trade receivables,56.70,43.29,29.17,20.50,14.63,8.04,8.67,18.45,20.13,26.99,43.08,35.03,
    └─ Receivables over 6m,24.76,12.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.50,18.96,,37.63
    └─ Receivables under 6m,31.94,30.40,37.26,24.20,18.74,11.10,12.21,21.97,23.59,22.91,27.66,,30.39
    └─ Prov for Doubtful,0.00,0.00,-8.09,-3.71,-4.11,-3.06,-3.54,-3.52,-3.46,-3.42,-3.54,,0.00
  └─ Cash Equivalents,6.51,5.56,5.12,2.43,1.71,10.30,7.15,17.05,11.71,5.95,1.34,1.36,
  └─ Loans n Advances,3.34,4.64,7.08,8.22,3.06,4.09,3.69,3.01,0.95,0.90,2.41,15.81,
  └─ Other asset items,43.97,42.53,39.76,42.68,50.66,38.44,42.22,27.18,27.41,32.60,30.56,19.69,
Total Assets,279,242,252,229,216,200,190,186,152,157,176,175,
