Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,13,13,13,25,26,29,31,31,31,31
Reserves,76,50,32,113,131,345,433,509,572,618
Borrowings,0,16,92,219,234,279,169,336,217,379
  └─ Long term Borrowings,0,0,29,100,0,0,0,0,0,379
  └─ Short term Borrowings,0,16,63,119,0,0,0,0,0,0
  └─ Other Borrowings,0,0,0,0,234,279,169,336,217,
Other Liabilities,21,52,145,266,477,956,1009,1172,846,879
  └─ Trade Payables,0,2,0,1,2,1,1,1,1,0
  └─ Advance from Customers,0,0,0,0,0,0,0,0,0,
  └─ Other liability items,21,50,145,265,475,954,1008,1171,845,879
Total Liabilities,109,131,282,624,867,1609,1642,2048,1667,1907
Fixed Assets,0,2,2,8,8,11,16,24,20,18
  └─ Building,0.00,0.00,0.00,5.60,3.85,2.28,2.13,14.69,11.18,
  └─ Equipments,0.15,0.22,0.24,0.28,0.26,0.47,0.73,0.86,1.05,
  └─ Computers,0.15,1.23,1.81,2.59,3.85,10.00,16.16,18.75,21.45,
  └─ Furniture n fittings,0.21,0.44,0.54,0.59,0.59,1.35,1.19,1.17,1.65,
  └─ Vehicles,0.00,0.00,0.00,0.18,0.04,0.02,0.00,0.00,0.00,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.31
  └─ Other fixed assets,0.27,1.21,1.03,1.71,4.28,5.13,9.58,7.78,12.11,
  └─ Gross Block,0.78,3.10,3.62,10.95,12.87,19.25,29.79,43.25,47.44,
  └─ Accumulated Depreciation,0.31,0.97,1.44,2.74,5.09,8.09,14.29,18.80,27.50,
CWIP,0,0,0,2,0,0,0,0,0,0
Investments,0,0,3,9,9,14,8,2,2,2
Other Assets,109,129,277,605,851,1583,1618,2021,1645,1887
  └─ Inventories,3,4,0,0,0,0,0,0,0,0
  └─ Trade receivables,0,1,2,0,0,0,0,0,0,0
  └─ Cash Equivalents,81,30,115,271,524,1201,1301,1637,1337,1418
  └─ Loans n Advances,0,0,1,3,3,6,4,6,5,340
  └─ Other asset items,24,95,158,331,323,376,312,378,303,129
Total Assets,109,131,282,624,867,1609,1642,2048,1667,1907
