Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.25,0.25,45,45,45,45
Reserves,-0,1386,1513,1712,1945,2079
Borrowings,0,341,215,285,413,754
  └─ Long term Borrowings,0,1,0,0,104,186
  └─ Short term Borrowings,0,338,214,264,293,500
  └─ Lease Liabilities,0,3,1,21,17,69
  └─ Other Borrowings,0,0,0,0,-0,
Other Liabilities,0,312,470,540,503,603
  └─ Trade Payables,0,215,340,378,278,335
  └─ Advance from Customers,0,0,10,6,14,
  └─ Other liability items,0,97,121,156,212,268
Total Liabilities,0,2040,2244,2582,2906,3482
Fixed Assets,0,782,926,1033,1137,1525
  └─ Land,0,64,67,78,84,
  └─ Building,0,127,164,195,213,
  └─ Plant Machinery,0,973,1138,1252,1390,
  └─ Equipments,0,2,2,2,2,
  └─ Computers,0,6,6,7,9,
  └─ Furniture n fittings,0,7,7,8,10,
  └─ Vehicles,0,6,7,9,11,
  └─ Intangible Assets,0,2,2,19,38,124
  └─ Other fixed assets,0,38,38,38,38,
  └─ Gross Block,0,1225,1431,1609,1796,
  └─ Accumulated Depreciation,0,443,505,576,659,
CWIP,0,187,102,137,374,305
Investments,0,32,87,107,77,194
Other Assets,0,1038,1130,1305,1319,1457
  └─ Inventories,0,475,602,643,588,640
  └─ Trade receivables,0,377,450,519,575,583
  └─ Cash Equivalents,0,83,12,24,9,10
  └─ Loans n Advances,0,10,7,17,22,44
  └─ Other asset items,0,92,59,101,125,180
Total Assets,0,2040,2244,2582,2906,3482
