Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00
Reserves,33.49,33.77,34.34,31.75,34.64,34.95,43.74,50.20,59.30,65.02,68.70
Borrowings,0.00,0.00,0.00,0.00,0.84,1.47,2.20,7.13,4.03,2.93,2.01
  └─ Long term Borrowings,0.00,0.00,0.00,0.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Short term Borrowings,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,2.01
  └─ Other Borrowings,0.00,0.00,0.00,0.00,0.00,1.47,2.20,7.13,4.03,2.93,
Other Liabilities,10.04,2.97,5.85,12.96,17.18,18.97,44.15,40.66,59.36,35.55,38.27
  └─ Trade Payables,9.49,2.43,5.27,11.18,16.21,16.97,43.43,40.44,57.38,35.25,37.94
  └─ Other liability items,0.55,0.54,0.58,1.78,0.97,2.00,0.72,0.22,1.98,0.30,0.33
Total Liabilities,50.53,43.74,47.19,51.71,59.66,62.39,97.09,104.99,129.69,110.50,115.98
Fixed Assets,0.36,0.30,3.58,0.63,0.58,1.05,1.24,4.93,5.38,4.60,4.41
  └─ Building,0.00,0.00,2.97,0.00,0.00,0.00,0.00,2.13,2.13,2.13,
  └─ Equipments,0.15,0.17,0.20,0.21,0.21,0.21,0.21,0.25,0.27,0.29,
  └─ Computers,0.38,0.07,0.13,0.39,0.42,1.12,1.11,1.41,1.66,2.07,
  └─ Furniture n fittings,0.68,0.02,0.02,0.02,0.02,0.02,0.02,0.08,0.09,0.10,
  └─ Vehicles,0.20,0.09,0.37,0.37,0.37,0.37,0.37,0.37,0.44,0.69,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09
  └─ Other fixed assets,0.23,0.05,0.08,0.06,0.30,0.30,1.23,3.51,5.64,5.66,
  └─ Gross Block,1.64,0.40,3.77,1.05,1.32,2.02,2.94,7.75,10.23,10.94,
  └─ Accumulated Depreciation,1.28,0.11,0.19,0.42,0.74,0.98,1.69,2.81,4.86,6.34,
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Investments,0.62,0.62,0.62,0.59,1.03,0.83,10.09,1.67,0.15,0.62,1.55
Other Assets,49.55,42.82,42.99,50.49,58.05,60.51,85.76,98.39,124.16,105.28,110.02
  └─ Trade receivables,0,0,0,1,3,1,2,2,0,1,1
    └─ Receivables over 6m,0.01,0.32,0.03,1.05,0.13,0.00,0.28,0.28,0.17,0.17,
    └─ Receivables under 6m,0.19,0.00,0.25,0.33,2.94,1.43,1.36,1.42,0.27,0.71,
  └─ Cash Equivalents,38,27,34,38,46,51,62,92,117,98,97
  └─ Loans n Advances,0,0,-0,1,1,0,1,2,2,2,1
  └─ Other asset items,11,16,9,11,8,7,21,4,5,5,12
Total Assets,50.53,43.74,47.19,51.71,59.66,62.39,97.09,104.99,129.69,110.50,115.98
