Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.50,1,2,8,10,10,10,10
Reserves,6,7,7,8,17,12,12,12
Borrowings,15,15,17,23,25,29,26,27
  └─ Long term Borrowings,3.19,5.64,8.90,8.17,11.15,11.79,9.26,7.85
  └─ Short term Borrowings,11.96,8.95,8.44,14.38,14.00,17.14,16.31,19.63
  └─ Other Borrowings,-0.01,0.00,0.00,0.00,-0.01,0.01,0.00,
Other Liabilities,5,7,14,19,13,12,12,9
  └─ Trade Payables,4.32,6.07,11.83,15.21,10.24,9.52,8.47,6.33
  └─ Advance from Customers,0.00,0.00,0.00,0.43,0.61,0.61,0.85,
  └─ Other liability items,0.86,1.24,2.12,3.63,1.81,2.19,2.50,2.74
Total Liabilities,27,30,41,58,65,64,60,59
Fixed Assets,2,2,3,10,25,22,19,15
  └─ Land,0.05,0.05,0.05,0.05,0.05,0.05,0.00,
  └─ Building,1.48,1.48,1.52,1.69,11.86,11.86,0.00,
  └─ Equipments,0.68,0.79,0.93,0.49,0.80,0.86,0.00,
  └─ Computers,0.55,0.62,0.78,0.73,0.97,1.09,0.00,
  └─ Furniture n fittings,0.34,0.34,0.49,0.56,1.17,1.22,0.00,
  └─ Vehicles,1.65,1.47,2.74,3.21,18.24,18.95,0.00,
  └─ Intangible Assets,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.43
  └─ Other fixed assets,0.00,0.01,-0.01,7.21,0.30,0.31,18.65,
  └─ Gross Block,5.11,5.12,6.86,14.30,33.75,34.70,19.01,
  └─ Accumulated Depreciation,2.89,3.09,3.39,4.71,8.26,12.96,0.29,
CWIP,0,0,0,0,0,0,0,0
Investments,2,2,3,3,4,3,3,2
Other Assets,22,25,35,45,35,39,38,41
  └─ Trade receivables,15.64,17.53,26.84,26.62,31.17,31.38,30.45,35.04
    └─ Receivables over 6m,0.00,0.00,3.94,0.00,2.56,5.67,2.44,
    └─ Receivables under 6m,15.64,17.53,22.89,26.62,28.61,25.71,28.01,
  └─ Cash Equivalents,0.41,0.12,0.11,5.98,0.81,1.50,0.95,0.50
  └─ Loans n Advances,0.29,0.16,0.23,3.28,1.60,1.71,2.03,3.01
  └─ Other asset items,6.03,7.52,7.86,9.10,1.72,4.31,4.65,2.75
Total Assets,27,30,41,58,65,64,60,59
