Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2025,Mar 2026,Mar 2011,Mar 2012
Equity Capital,19,19,19,19,19,19,19,19,19,19,19,43,,
Reserves,837,775,745,737,721,719,684,611,409,218,243,878,,
Borrowings,819,980,1071,1123,1154,1141,1183,1212,1265,1079,550,334,,
  └─ Long term Borrowings,662,753,875,974,1030,989,986,960,1001,874,161,266,,
  └─ Short term Borrowings,103,158,91,149,121,134,175,252,264,205,389,68,,
  └─ Preference Capital,5,0,0,0,0,0,0,0,0,0,0,0,,
  └─ Other Borrowings,49,69,105,0,3,18,22,0,0,0,,,,
Other Liabilities,341,311,265,201,196,228,255,291,310,239,732,438,,
  └─ Non controlling int,21,23,24,25,24,24,25,27,26,-2,0,0,,
  └─ Trade Payables,14,14,27,37,43,49,63,83,94,95,50,47,,
  └─ Advance from Customers,121,83,8,15,18,51,59,61,61,58,,,,
  └─ Other liability items,184,190,205,124,110,104,107,119,128,89,682,391,,
Total Liabilities,2016,2085,2100,2080,2090,2108,2142,2133,2003,1556,1544,1692,,
Fixed Assets,1543,1789,1904,1839,1809,1773,1759,1727,1626,1479,1418,1384,,
  └─ Land,891.26,924.54,992.18,929.09,929.03,929.03,929.04,929.04,923.39,800.74,,,,
  └─ Building,107.07,270.14,301.79,310.32,301.25,279.44,277.10,264.45,637.26,636.98,,,,
  └─ Plant Machinery,108.76,137.09,153.18,79.38,77.95,151.68,153.42,151.35,151.73,152.52,,,,
  └─ Equipments,0.00,0.78,0.95,1.08,0.73,0.74,0.76,0.72,0.73,0.58,,,,
  └─ Computers,0.00,6.64,5.78,5.61,4.62,4.63,4.92,4.80,4.80,4.68,,,,
  └─ Furniture n fittings,55.09,69.29,70.57,159.47,153.08,78.04,77.94,77.43,77.43,77.73,,,,
  └─ Vehicles,15.60,12.44,12.80,15.03,13.58,16.16,14.23,10.17,8.29,6.81,,,,
  └─ Intangible Assets,467.79,527.80,553.98,495.55,493.23,495.25,500.94,501.44,0.00,0.00,0.00,0.00,,
  └─ Other fixed assets,0.01,-0.01,-0.01,0.00,-0.01,0.00,0.00,0.01,0.01,0.00,,,,
  └─ Gross Block,1645.58,1948.71,2091.22,1995.53,1973.46,1954.97,1958.35,1939.41,1803.64,1680.04,,,,
  └─ Accumulated Depreciation,102.72,160.10,187.18,156.40,164.47,181.83,199.12,212.76,177.65,201.29,,,,
CWIP,354,143,133,157,188,229,256,279,297,1,1,0,,
Investments,0,0,0,0,0,1,1,1,1,0,0,0,,
Other Assets,119,154,63,83,93,104,125,126,78,76,125,309,,
  └─ Inventories,6,6,5,8,9,12,11,10,6,6,13,9,,
  └─ Trade receivables,11,10,10,11,11,12,17,13,14,11,16,21,,
    └─ Receivables over 6m,1.19,1.36,0.35,0.00,0.00,0.00,0.00,0.00,5.75,1.91,,,0.99,1.10
    └─ Receivables under 6m,10.01,8.61,9.57,10.86,11.11,12.22,16.66,12.76,8.65,9.25,,,14.58,14.48
    └─ Prov for Doubtful,-0.02,0.00,-0.07,-0.19,-0.21,-0.21,0.00,0.00,-0.11,-0.16,,,-0.79,-0.69
  └─ Cash Equivalents,9,36,5,18,15,12,5,2,2,7,54,184,,
  └─ Loans n Advances,4,3,3,4,4,3,3,3,2,2,4,14,,
  └─ Other asset items,88,99,40,43,54,65,89,98,55,51,37,80,,
Total Assets,2016,2085,2100,2080,2090,2108,2142,2133,2003,1556,1544,1692,,
