Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,88,88,88,88,88,89,103,121,126,126,126,126,
Reserves,1384,1439,1928,1958,2010,2092,2600,3764,4941,5416,6110,6718,
Borrowings,1384,1970,2013,3532,3032,3015,2593,2656,3699,4149,4152,5670,
  └─ Long term Borrowings,339,488,472,626,1771,2084,2187,2321,3231,3063,2777,4073,
  └─ Short term Borrowings,785,1407,1198,2839,1176,719,327,263,382,983,1156,1413,
  └─ Lease Liabilities,0,0,0,0,0,87,80,72,86,104,220,184,
  └─ Other Borrowings,260,74,344,67,85,124,0,0,0,0,0,,
Other Liabilities,584,957,1019,1413,1988,1735,1865,2204,2655,2226,2516,3973,
  └─ Non controlling int,6,8,8,40,44,43,97,118,126,38,17,619,
  └─ Trade Payables,245,470,439,909,1484,1294,1297,1416,1777,1285,1714,2158,
  └─ Advance from Customers,13,25,28,29,8,16,15,47,22,32,31,,
  └─ Other liability items,321,454,545,435,452,382,456,623,730,872,754,1196,
Total Liabilities,3440,4454,5048,6991,7118,6931,7161,8744,11421,11917,12905,16488,
Fixed Assets,1384,1317,2056,2189,2209,2712,2621,2644,2678,6258,6292,6157,
  └─ Land,110,107,301,351,413,437,483,319,273,273,358,,
  └─ Building,420,341,369,400,427,539,536,774,601,845,739,,
  └─ Plant Machinery,1786,893,1503,1673,1746,2173,2238,2388,2580,6152,6340,,
  └─ Equipments,28,12,20,25,35,76,38,44,47,63,76,,
  └─ Furniture n fittings,62,36,44,58,60,67,67,81,91,103,118,,
  └─ Vehicles,21,14,20,22,30,31,28,30,38,43,48,,
  └─ Intangible Assets,89,21,30,43,43,61,64,65,65,46,50,69,
  └─ Other fixed assets,13,1,12,12,17,61,106,112,362,404,607,,
  └─ Gross Block,2527,1427,2298,2584,2770,3445,3559,3812,4057,7930,8338,,
  └─ Accumulated Depreciation,1143,109,242,396,562,733,939,1168,1379,1672,2046,,
CWIP,152,396,385,654,1370,1310,1619,2428,3528,754,1408,3046,
Investments,253,72,154,388,252,12,449,879,600,261,186,133,
Other Assets,1651,2668,2453,3761,3286,2897,2472,2794,4615,4644,5018,7151,
  └─ Inventories,409,606,505,768,828,684,637,1045,1259,1192,1069,1738,
  └─ Trade receivables,954,1548,1311,1965,1396,1276,923,620,1691,1476,1617,2343,
    └─ Receivables over 6m,282,0,0,0,0,0,0,68,88,87,158,,63
    └─ Receivables under 6m,673,1555,1322,1979,1411,1299,971,610,1662,1448,1524,,727
    └─ Prov for Doubtful,-1,-7,-11,-13,-15,-23,-48,-58,-60,-60,-65,,-1
  └─ Cash Equivalents,60,233,98,100,116,259,246,289,499,361,444,536,
  └─ Loans n Advances,74,43,51,153,63,44,48,70,96,80,96,209,
  └─ Other asset items,154,239,487,774,882,635,617,770,1071,1535,1793,2324,
Total Assets,3440,4454,5048,6991,7118,6931,7161,8744,11421,11917,12905,16488,
