Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Sep 2013
Equity Capital,1377,1358,1358,1369,1369,221,497,497,497,497,497,497,
Reserves,2265,3197,331,-18044,-15986,-12541,-18166,-18404,-19397,-20272,-21127,-22024,
Borrowings,18009,22037,25506,27415,25346,29390,24186,24341,24163,26015,25963,26106,
  └─ Long term Borrowings,8491,8709,9262,7367,6125,28041,22765,22435,21831,24405,25700,25616,
  └─ Short term Borrowings,6818,11563,14183,17846,17675,1073,1152,1906,2321,1602,261,489,
  └─ Lease Liabilities,0,0,0,0,0,0,0,0,11,7,2,1,
  └─ Preference Capital,0,0,0,0,0,12,12,239,240,3541,3543,0,
  └─ Other Borrowings,2700,1765,2061,2202,1546,263,256,-239,-240,-3541,-3543,,
Other Liabilities,8290,6791,5511,7962,7286,839,1526,1793,2199,1168,1397,1897,
  └─ Trade Payables,3649,1378,1456,1063,1058,464,1095,1326,1625,489,411,714,
  └─ Advance from Customers,365,387,200,225,228,0,0,0,0,0,0,,
  └─ Other liability items,4275,5026,3854,6675,6000,375,431,468,574,679,986,1182,
Total Liabilities,29941,33383,32706,18702,18015,17908,8043,8228,7461,7407,6730,6475,
Fixed Assets,8687,16645,16763,16063,15572,15033,6043,5820,5520,5215,4762,4692,
  └─ Land,132.15,4624.77,4661.04,4663.38,4664.15,4664.16,4664.16,4664.70,4689.36,4687.96,4618.46,,
  └─ Building,2906.30,3258.47,3317.49,3268.13,3277.10,3277.08,3279.91,3280.02,3286.91,3287.35,3139.82,,
  └─ Plant Machinery,10429.94,9401.92,9072.68,9091.16,9238.41,9235.68,9444.99,9557.24,9549.35,9544.20,9462.00,,
  └─ Equipments,103.86,278.31,63.01,62.47,61.91,7.34,7.48,7.44,6.67,65.98,70.95,,
  └─ Computers,37.88,14.27,5.95,5.49,5.12,5.87,9.06,12.19,11.45,11.51,11.50,,
  └─ Furniture n fittings,463.78,115.61,156.96,52.55,50.57,105.48,107.43,109.06,102.09,45.79,37.62,,
  └─ Vehicles,28.11,5.05,12.35,11.95,11.29,11.10,10.94,11.14,10.84,9.86,2.85,,
  └─ Intangible Assets,107.01,12.52,10.90,13.42,12.08,12.08,12.45,12.45,12.45,12.45,12.45,4.61,
  └─ Other fixed assets,29.28,3.89,910.25,846.62,860.56,860.56,860.33,860.34,860.28,866.12,855.46,,
  └─ Gross Block,14238.31,17714.81,18210.63,18015.17,18181.19,18179.35,18396.75,18514.58,18529.40,18531.22,18211.11,,
  └─ Accumulated Depreciation,5551.76,1070.08,1447.67,1952.35,2608.78,3146.32,12353.65,12695.08,13009.87,13316.33,13449.40,,
CWIP,100,41,6,4,1,0,11,8,15,18,35,98,
Investments,1303,1189,184,95,96,95,0,0,0,0,0,0,
Other Assets,19852,15508,15753,2540,2346,2780,1989,2400,1927,2174,1933,1685,
  └─ Inventories,8543,8300,3330,510,421,420,964,1284,1039,942,866,886,
  └─ Trade receivables,7677,6041,10070,310,240,241,348,504,345,465,440,318,
    └─ Receivables over 6m,185,1967,-0,-0,11285,-0,-0,256,240,283,297,,84
    └─ Receivables under 6m,7539,5572,10278,11485,146,428,534,471,344,430,428,,5110
    └─ Prov for Doubtful,-46,-1497,-209,-11175,-11190,-187,-186,-223,-240,-248,-286,,-109
  └─ Cash Equivalents,694,169,98,67,38,489,271,59,60,217,72,123,
  └─ Loans n Advances,2180,602,483,35,-18,32,-24,-20,-25,-25,-19,4,
  └─ Other asset items,758,396,1772,1618,1666,1597,430,573,508,576,574,354,
Total Assets,29941,33383,32706,18702,18015,17908,8043,8228,7461,7407,6730,6475,
