Metric,Mar 2023,Mar 2024
Equity Capital,3,3
Reserves,703,945
Borrowings,7,5
  └─ Lease Liabilities,6.75,5.42
Other Liabilities,60,97
  └─ Trade Payables,18,23
  └─ Advance from Customers,5,2
  └─ Other liability items,38,73
Total Liabilities,774,1051
Fixed Assets,36,34
  └─ Land,0.47,0.47
  └─ Building,16.93,17.04
  └─ Plant Machinery,9.39,10.76
  └─ Equipments,4.18,4.28
  └─ Computers,2.51,2.78
  └─ Furniture n fittings,3.55,3.56
  └─ Vehicles,0.90,1.24
  └─ Intangible Assets,0.04,0.04
  └─ Other fixed assets,10.12,8.56
  └─ Gross Block,48.09,48.73
  └─ Accumulated Depreciation,12.37,14.94
CWIP,0,0
Investments,662,944
Other Assets,76,73
  └─ Inventories,29.02,22.56
  └─ Trade receivables,11.00,19.47
    └─ Receivables over 6m,2.93,2.25
    └─ Receivables under 6m,9.46,18.34
    └─ Prov for Doubtful,-1.38,-1.12
  └─ Cash Equivalents,16.02,12.58
  └─ Loans n Advances,15.97,14.69
  └─ Other asset items,3.69,3.24
Total Assets,774,1051
