Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,5,14,18,18,18,18,18,18,32,33,33
Reserves,-0,27,78,98,103,110,121,144,180,204,219
Borrowings,0,45,55,61,68,85,85,95,149,169,194
  └─ Long term Borrowings,0,8,19,23,22,36,35,33,66,75,88
  └─ Short term Borrowings,0,33,33,32,42,40,50,61,83,94,106
  └─ Other Borrowings,0,4,3,5,4,9,0,0,0,0,
Other Liabilities,0,46,42,56,54,67,66,94,76,94,128
  └─ Non controlling int,0,0,0,0,0,0,0,8,13,20,22
  └─ Trade Payables,0,16,17,20,17,24,27,31,20,22,30
  └─ Advance from Customers,0,0,0,0,0,0,0,0,0,0,
  └─ Other liability items,0,30,25,36,37,43,39,55,43,53,76
Total Liabilities,5,132,192,232,243,279,290,350,438,500,574
Fixed Assets,0,34,61,92,96,115,129,132,231,246,299
  └─ Land,0.00,0.00,7.65,10.44,10.44,11.47,11.47,12.82,12.96,14.68,
  └─ Building,0.00,6.71,7.68,12.59,13.45,34.12,39.99,41.94,34.68,37.24,
  └─ Plant Machinery,0.00,27.91,37.66,63.72,47.68,62.93,75.23,83.54,135.20,159.70,
  └─ Equipments,0.00,0.08,0.07,0.46,0.49,0.55,0.58,0.68,1.20,1.73,
  └─ Computers,0.01,0.04,0.04,0.09,0.17,0.31,0.41,0.66,1.45,1.77,
  └─ Furniture n fittings,0.00,1.71,2.72,4.45,4.87,5.38,5.72,6.24,55.12,56.70,
  └─ Vehicles,0.00,1.32,1.33,2.63,2.63,2.86,3.30,3.33,6.49,6.45,
  └─ Intangible Assets,0.00,0.00,13.55,13.55,13.55,13.55,13.55,13.55,25.92,25.92,39.82
  └─ Other fixed assets,0.00,1.07,0.39,0.64,26.45,15.34,21.28,23.72,29.80,32.89,
  └─ Gross Block,0.01,38.84,71.09,108.57,119.73,146.51,171.53,186.48,302.82,337.08,
  └─ Accumulated Depreciation,0.00,4.79,10.46,16.62,23.72,31.89,42.81,54.71,71.44,90.79,
CWIP,0,2,7,9,15,11,2,9,2,20,13
Investments,1,0,0,2,5,6,0,0,0,2,4
Other Assets,4,95,124,129,127,148,158,209,204,233,258
  └─ Inventories,0,43,48,56,58,63,67,76,120,146,162
  └─ Trade receivables,0,38,38,47,46,64,72,97,38,44,31
  └─ Cash Equivalents,0,3,5,2,3,4,3,16,5,7,11
  └─ Loans n Advances,0,10,27,18,14,12,2,0,28,23,1
  └─ Other asset items,4,1,6,6,6,5,15,20,13,13,53
Total Assets,5,132,192,232,243,279,290,350,438,500,574
