Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,66,110,144,165,186,186
Reserves,0,90,187,311,346,367
Borrowings,42,23,30,34,77,97
  └─ Long term Borrowings,16,2,10,18,39,28
  └─ Short term Borrowings,26,21,21,17,38,69
  └─ Lease Liabilities,0,0,0,0,0,0
  └─ Other Borrowings,0,0,0,-0,0,
Other Liabilities,41,98,93,44,121,82
  └─ Non controlling int,0,0,2,2,1,1
  └─ Trade Payables,38,67,59,15,60,27
  └─ Advance from Customers,1,5,10,6,37,
  └─ Other liability items,2,27,21,21,23,54
Total Liabilities,149,321,454,555,729,731
Fixed Assets,12,28,47,56,61,52
  └─ Land,0.98,0.98,12.26,12.31,17.28,
  └─ Building,0.68,0.68,1.01,0.78,2.98,
  └─ Plant Machinery,2.95,2.95,9.71,5.57,8.23,
  └─ Equipments,0.06,0.40,0.45,0.66,0.86,
  └─ Furniture n fittings,0.08,0.12,0.18,0.19,0.28,
  └─ Vehicles,2.52,3.76,6.66,18.60,18.38,
  └─ Intangible Assets,0.00,1.47,10.44,10.44,10.44,16.84
  └─ Other fixed assets,8.07,22.09,16.60,17.80,18.38,
  └─ Gross Block,15.34,32.45,57.31,66.35,76.83,
  └─ Accumulated Depreciation,3.06,4.40,10.28,10.54,16.04,
CWIP,0,0,0,0,1,1
Investments,3,84,77,183,54,376
Other Assets,133,208,330,316,614,302
  └─ Inventories,27,28,13,9,5,10
  └─ Trade receivables,71,43,169,146,128,110
  └─ Cash Equivalents,0,8,10,14,6,7
  └─ Loans n Advances,0,15,15,30,31,22
  └─ Other asset items,35,114,124,117,444,153
Total Assets,149,321,454,555,729,731
