Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Mar 2013
Equity Capital,959,994,988,988,1141,1144,1145,1184,1190,1192,1196,1198,1198,
Reserves,-153,-225,-433,-100,-146,-154,-90,-592,-1040,-1376,-1502,-1497,-1501,
Borrowings,110,673,539,471,618,814,696,624,577,428,410,433,436,
  └─ Long term Borrowings,0,366,272,154,310,278,224,170,130,0,0,0,0,
  └─ Short term Borrowings,109,297,204,184,230,482,315,321,391,409,409,399,403,
  └─ Lease Liabilities,0,0,0,0,0,0,85,44,57,19,1,34,34,
  └─ Other Borrowings,0,10,63,133,77,54,72,89,-0,0,0,,,
Other Liabilities,144,204,239,332,409,446,465,598,494,246,404,436,418,
  └─ Non controlling int,16,34,12,8,4,-2,0,-0,0,0,0,0,1,
  └─ Trade Payables,111,124,99,168,240,300,309,199,114,52,39,95,89,
  └─ Advance from Customers,5,6,2,2,5,5,0,0,0,0,0,,,
  └─ Other liability items,13,40,125,154,160,144,156,398,379,194,364,341,328,
Total Liabilities,1059,1647,1332,1692,2022,2250,2215,1813,1221,490,508,570,552,
Fixed Assets,473,888,787,844,910,945,782,677,642,62,9,370,334,
  └─ Land,6,30,173,213,212,212,103,81,81,16,0,,,
  └─ Building,23,99,129,143,168,202,272,239,251,53,19,,,
  └─ Plant Machinery,22,92,92,110,154,213,231,212,200,40,47,,,
  └─ Equipments,6,7,4,9,12,14,14,13,11,9,2,,,
  └─ Computers,11,17,10,14,15,16,14,14,13,6,3,,,
  └─ Furniture n fittings,33,34,22,28,32,43,43,37,29,20,5,,,
  └─ Vehicles,2,2,2,2,2,1,1,1,1,0,0,,,
  └─ Intangible Assets,494,794,404,404,404,406,411,411,416,312,172,108,71,
  └─ Other fixed assets,8,30,8,22,53,55,55,55,53,39,37,,,
  └─ Gross Block,605,1106,844,945,1051,1163,1146,1063,1055,495,283,,,
  └─ Accumulated Depreciation,132,218,57,100,142,218,364,386,413,433,274,,,
CWIP,7,50,37,89,69,31,36,9,9,0,0,3,3,
Investments,139,112,86,40,43,73,66,65,8,5,8,8,8,
Other Assets,441,597,422,718,1000,1201,1331,1062,562,424,490,188,206,
  └─ Inventories,104,111,110,176,224,247,166,57,79,30,2,36,42,
  └─ Trade receivables,110,155,165,324,493,675,763,628,149,3,0,13,15,
    └─ Receivables over 6m,9,60,0,0,0,0,0,0,0,0,399,,,3
    └─ Receivables under 6m,102,142,175,326,496,680,813,828,580,418,3,,,26
    └─ Prov for Doubtful,-1,-48,-10,-2,-3,-5,-50,-200,-430,-415,-401,,,-1
  └─ Cash Equivalents,11,43,17,48,45,68,59,47,28,15,9,14,10,
  └─ Loans n Advances,4,24,24,58,73,54,65,8,4,-3,2,87,96,
  └─ Other asset items,212,263,106,112,166,157,277,321,302,379,477,39,44,
Total Assets,1059,1647,1332,1692,2022,2250,2215,1813,1221,490,508,570,552,
