Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2025,Mar 2026
Equity Capital,32,32,44,44,44,44,44
Reserves,138,177,282,342,429,1286,1460
Borrowings,419,490,535,712,605,147,150
  └─ Long term Borrowings,219,308,336,542,477,84,59
  └─ Short term Borrowings,158,138,144,99,70,40,69
  └─ Lease Liabilities,0,0,0,0,0,23,22
  └─ Other Borrowings,43,45,55,72,58,0,
Other Liabilities,127,181,200,340,339,798,815
  └─ Trade Payables,84,120,111,224,179,536,546
  └─ Advance from Customers,1,2,4,3,18,2,
  └─ Other liability items,43,59,85,113,142,260,269
Total Liabilities,716,881,1059,1437,1415,2275,2470
Fixed Assets,388,492,629,945,928,1335,1316
  └─ Land,25.12,24.14,73.57,67.53,71.86,77.86,
  └─ Building,89.74,96.24,96.05,113.54,131.58,243.27,
  └─ Plant Machinery,422.87,540.71,479.19,798.98,801.43,1475.02,
  └─ Equipments,2.19,2.01,0.99,1.06,1.33,3.26,
  └─ Computers,1.35,1.27,0.64,1.25,1.62,3.44,
  └─ Furniture n fittings,2.21,3.05,2.13,1.78,2.08,3.53,
  └─ Vehicles,4.90,4.47,2.41,3.03,4.25,10.08,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,3.05
  └─ Other fixed assets,0.55,0.57,0.55,0.56,0.56,1.49,
  └─ Gross Block,548.93,672.46,655.53,987.73,1014.71,1817.95,
  └─ Accumulated Depreciation,160.65,180.10,26.99,43.21,86.79,483.06,
CWIP,2,18,6,7,72,13,97
Investments,0,0,0,0,0,186,239
Other Assets,326,370,425,486,415,742,819
  └─ Inventories,119,99,149,194,173,462,425
  └─ Trade receivables,149,216,199,171,99,128,107
  └─ Cash Equivalents,15,13,15,26,44,58,49
  └─ Loans n Advances,8,16,8,6,10,5,3
  └─ Other asset items,35,27,53,90,90,89,234
Total Assets,716,881,1059,1437,1415,2275,2470
