Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.00,11,11,11,11,11,12,12
Reserves,598,637,683,756,499,569,796,875
Borrowings,72,51,7,1,95,165,93,148
  └─ Long term Borrowings,3,1,1,0,53,93,43,103
  └─ Short term Borrowings,62,49,6,0,35,61,34,33
  └─ Lease Liabilities,0,0,0,1,6,11,15,12
  └─ Other Borrowings,7,1,1,0,0,0,0,
Other Liabilities,143,149,157,186,245,335,230,247
  └─ Non controlling int,13,13,13,16,0,0,0,0
  └─ Trade Payables,42,45,52,57,41,88,79,73
  └─ Advance from Customers,0,2,4,4,4,5,3,
  └─ Other liability items,87,90,88,109,201,242,149,174
Total Liabilities,812,848,859,955,850,1080,1131,1282
Fixed Assets,339,327,348,276,353,548,583,531
  └─ Land,52.28,48.88,48.88,35.72,24.34,24.34,24.34,
  └─ Building,95.31,97.37,113.22,62.71,124.90,188.35,203.92,
  └─ Plant Machinery,154.78,168.09,205.87,219.14,275.12,458.36,541.93,
  └─ Equipments,9.04,10.47,11.20,11.39,9.00,10.88,12.62,
  └─ Furniture n fittings,11.37,12.02,12.30,9.51,12.84,13.49,14.01,
  └─ Vehicles,7.92,8.03,7.76,9.23,7.75,9.11,9.96,
  └─ Intangible Assets,67.67,67.67,67.67,67.67,0.00,0.00,0.00,0.45
  └─ Other fixed assets,5.05,6.21,7.68,6.07,5.28,7.26,7.94,
  └─ Gross Block,403.42,418.74,474.58,421.44,459.23,711.79,814.72,
  └─ Accumulated Depreciation,64.81,91.50,126.60,145.35,106.00,164.19,231.79,
CWIP,16,46,13,25,41,26,18,105
Investments,125,119,245,197,146,85,50,83
Other Assets,333,356,253,457,309,421,480,561
  └─ Inventories,173,184,148,193,144,253,333,366
  └─ Trade receivables,91,89,66,74,51,91,101,107
  └─ Cash Equivalents,10,4,8,29,10,7,2,3
  └─ Loans n Advances,7,4,3,5,5,16,16,5
  └─ Other asset items,52,76,29,155,99,54,29,80
Total Assets,812,848,859,955,850,1080,1131,1282
