Metric,Mar 2011,Jun 2012,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2024,Mar 2025,Mar 2026
Equity Capital,25,25,25,25,25,25,14,17,17
Reserves,26,27,28,18,-74,-94,0,105,200
Borrowings,38,37,71,76,86,84,9,3,1
  └─ Long term Borrowings,8.45,4.99,43.88,43.92,41.82,40.78,0.00,0.00,0.60
  └─ Short term Borrowings,27.73,30.01,27.35,32.34,44.37,43.50,9.01,2.59,0.10
  └─ Other Borrowings,1.92,1.88,0.06,0.00,0.01,0.00,0.01,0.00,
Other Liabilities,48,43,102,44,36,23,6,27,72
  └─ Non controlling int,0,0,0,0,0,0,0,0,0
  └─ Trade Payables,38,34,82,32,31,17,2,25,56
  └─ Advance from Customers,3,3,1,1,0,1,4,2,
  └─ Other liability items,7,7,19,11,5,5,1,1,16
Total Liabilities,137,133,227,163,73,38,30,152,291
Fixed Assets,29,27,58,56,24,21,13,14,65
  └─ Land,10.77,10.77,10.77,10.77,10.77,10.77,8.98,8.99,
  └─ Building,8.52,8.52,10.41,10.41,10.41,10.41,10.56,11.35,
  └─ Plant Machinery,21.82,22.34,32.51,32.55,32.55,32.55,32.59,33.61,
  └─ Equipments,0.25,0.25,0.27,0.29,0.29,0.29,0.30,0.36,
  └─ Computers,0.35,0.40,0.00,0.00,0.00,0.00,0.02,0.05,
  └─ Furniture n fittings,1.11,1.19,1.51,1.51,1.51,1.51,1.60,1.60,
  └─ Vehicles,1.03,0.59,1.06,1.49,1.49,1.49,1.49,1.49,
  └─ Intangible Assets,0.03,0.03,28.60,27.50,0.00,0.00,0.00,0.00,0.00
  └─ Other fixed assets,0.00,0.01,0.01,0.02,0.02,0.02,-0.02,0.00,
  └─ Gross Block,43.88,44.10,85.14,84.54,57.04,57.04,55.52,57.45,
  └─ Accumulated Depreciation,15.22,17.19,26.70,28.38,32.88,36.16,42.88,43.25,
CWIP,0,1,0,0,0,0,0,0,25
Investments,10,10,10,10,0,0,0,37,0
Other Assets,98,94,158,96,49,17,17,101,200
  └─ Inventories,26,45,48,50,0,0,1,15,58
  └─ Trade receivables,61,37,105,39,42,10,15,68,107
    └─ Receivables over 6m,1,1,22,15,15,10,15,16,
    └─ Receivables under 6m,59,36,83,24,26,0,0,52,
  └─ Cash Equivalents,4,3,1,1,1,0,0,1,11
  └─ Loans n Advances,4,4,0,5,5,6,0,5,0
  └─ Other asset items,3,5,4,1,1,1,1,12,24
Total Assets,137,133,227,163,73,38,30,152,291
