Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,52,55,58,61,61,61
Reserves,278,285,296,305,312,320
Borrowings,85,83,120,110,108,142
  └─ Long term Borrowings,16,16,54,42,40,75
  └─ Short term Borrowings,68,65,64,65,65,65
  └─ Lease Liabilities,0,2,2,3,3,2
  └─ Other Borrowings,,0,0,0,-0,
Other Liabilities,56,53,67,73,90,93
  └─ Non controlling int,2,0,0,0,0,0
  └─ Trade Payables,19,19,28,25,31,33
  └─ Advance from Customers,,4,2,2,3,
  └─ Other liability items,35,30,37,46,57,61
Total Liabilities,472,476,541,548,570,616
Fixed Assets,297,298,297,361,349,390
  └─ Building,,175.09,175.29,182.22,182.32,
  └─ Plant Machinery,,168.10,169.48,236.90,237.65,
  └─ Equipments,,0.72,1.03,1.30,1.55,
  └─ Computers,,0.49,0.53,0.56,0.64,
  └─ Furniture n fittings,,1.15,1.19,1.20,1.30,
  └─ Vehicles,,2.62,9.66,9.70,9.70,
  └─ Other fixed assets,,4.65,5.95,7.34,8.31,
  └─ Gross Block,,352.82,363.13,439.22,441.47,
  └─ Accumulated Depreciation,,55.23,66.52,77.93,92.42,
CWIP,8,6,78,10,38,24
Investments,108,10,10,10,10,9
Other Assets,59,162,156,167,173,192
  └─ Inventories,0,112,118,116,109,115
  └─ Trade receivables,32,22,16,16,41,51
    └─ Receivables over 6m,,5.82,4.50,4.74,5.59,
    └─ Receivables under 6m,,16.27,11.96,11.69,34.98,
  └─ Cash Equivalents,3,6,2,14,2,6
  └─ Loans n Advances,2,6,5,6,6,2
  └─ Other asset items,22,17,15,14,16,18
Total Assets,472,476,541,548,570,616
