Metric,Mar 2016,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,3,3,3,3,4,47,47,47,47,48
Reserves,948,1185,1193,1224,1638,1933,1997,2023,2173,2436
Borrowings,31,35,68,77,93,77,86,112,131,140
  └─ Lease Liabilities,0,0,34,42,55,77,86,112,131,140
  └─ Preference Capital,31,35,35,35,39,0,0,0,0,0
  └─ Other Borrowings,0,0,0,0,0,-0,0,0,0,
Other Liabilities,39,28,159,163,189,220,210,326,353,385
  └─ Non controlling int,0,-0,56,70,82,95,79,87,106,135
  └─ Trade Payables,15,11,18,20,22,21,22,35,32,32
  └─ Advance from Customers,0,0,1,0,0,1,1,0,0,
  └─ Other liability items,24,18,85,73,84,103,109,204,216,218
Total Liabilities,1021,1252,1424,1467,1924,2276,2340,2508,2705,3009
Fixed Assets,792,789,1010,1016,1022,1041,1042,1489,1497,1522
  └─ Land,0,0,40,39,39,39,39,39,39,
  └─ Building,0,0,11,12,78,111,133,181,212,
  └─ Plant Machinery,5,4,5,7,7,9,10,10,10,
  └─ Equipments,2,3,4,5,5,6,7,8,8,
  └─ Computers,8,7,7,7,9,10,11,17,18,
  └─ Furniture n fittings,2,2,3,3,3,4,4,5,4,
  └─ Vehicles,0,0,0,1,2,4,5,7,8,
  └─ Intangible Assets,784,784,898,898,898,898,898,1324,1324,1325
  └─ Other fixed assets,5,5,89,103,53,54,54,54,54,
  └─ Gross Block,806,805,1058,1074,1095,1133,1161,1647,1679,
  └─ Accumulated Depreciation,14,16,47,59,73,92,119,158,181,
CWIP,0,0,0,0,0,0,0,0,0,1
Investments,165,405,287,295,645,884,985,510,614,910
Other Assets,65,58,127,157,255,351,312,509,594,576
  └─ Inventories,0,0,1,0,2,1,0,0,0,0
  └─ Trade receivables,18,21,36,47,47,41,52,73,87,93
  └─ Cash Equivalents,7,4,22,22,24,63,28,99,77,41
  └─ Loans n Advances,1,1,42,53,54,36,18,11,12,199
  └─ Other asset items,39,32,26,36,128,210,215,325,418,243
Total Assets,1021,1252,1424,1467,1924,2276,2340,2508,2705,3009
