Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2009
Equity Capital,13,21,21,21,21,21,21,20,30,30,29,29,
Reserves,278,388,444,527,641,711,800,850,889,982,1056,1191,
Borrowings,322,206,237,114,305,191,100,54,163,87,105,157,
  └─ Long term Borrowings,54,28,15,8,1,2,2,2,2,29,23,28,
  └─ Short term Borrowings,241,153,206,97,295,183,92,48,157,54,76,129,
  └─ Lease Liabilities,0,0,0,0,0,4,4,5,4,4,5,0,
  └─ Other Borrowings,27,26,15,9,9,2,2,0,0,0,-0,,
Other Liabilities,308,321,277,338,388,372,505,473,615,620,709,623,
  └─ Trade Payables,210,211,199,243,280,247,362,324,448,420,508,439,
  └─ Advance from Customers,27,27,49,57,62,72,92,97,115,136,122,,
  └─ Other liability items,71,83,30,38,46,53,51,52,52,64,80,183,
Total Liabilities,920,936,978,1000,1356,1294,1426,1396,1696,1719,1898,2000,
Fixed Assets,210,198,185,232,240,239,239,253,263,286,282,381,
  └─ Land,20.67,21.27,20.87,20.87,22.05,22.97,23.31,23.31,23.47,36.12,36.12,,
  └─ Building,79.29,83.57,71.29,86.64,88.74,97.66,100.18,107.84,119.61,126.35,128.35,,
  └─ Plant Machinery,105.45,106.11,90.68,135.64,156.06,158.56,173.57,197.59,213.51,232.44,239.08,,
  └─ Equipments,7.96,9.81,0.81,0.87,1.22,1.26,1.40,1.57,1.76,2.07,2.49,,
  └─ Computers,2.66,2.50,1.04,1.12,2.03,2.15,2.35,2.56,2.71,3.24,4.27,,
  └─ Furniture n fittings,9.68,10.83,4.74,4.82,5.72,5.87,6.68,7.11,7.35,7.71,8.29,,
  └─ Vehicles,7.77,8.76,7.38,10.10,11.40,13.76,14.94,15.69,17.53,21.51,26.80,,
  └─ Intangible Assets,2.09,2.29,2.28,2.95,3.28,5.69,6.08,7.21,8.57,9.86,11.58,19.18,
  └─ Other fixed assets,8.13,2.82,1.38,1.33,1.54,5.83,8.19,7.09,8.47,11.47,14.13,,
  └─ Gross Block,243.70,247.96,200.47,264.34,292.04,313.75,336.70,369.97,402.98,450.77,471.11,,
  └─ Accumulated Depreciation,33.99,49.51,15.88,32.77,51.84,74.65,97.90,116.99,140.38,164.91,189.24,,
CWIP,38,51,58,17,19,39,59,91,123,142,161,119,
Investments,3,3,11,17,12,12,14,16,17,23,29,29,
Other Assets,670,684,725,735,1084,1004,1115,1037,1294,1268,1426,1472,
  └─ Inventories,391,351,426,407,705,519,661,630,862,807,886,780,
  └─ Trade receivables,167,208,212,235,244,320,255,289,296,297,385,487,
    └─ Receivables over 6m,5,6,0,0,0,0,0,0,0,32,32,,2
    └─ Receivables under 6m,162,202,215,239,250,327,266,304,311,282,376,,31
    └─ Prov for Doubtful,0,0,-3,-4,-5,-8,-11,-15,-15,-18,-23,,0
  └─ Cash Equivalents,9,12,9,20,9,74,83,36,20,61,57,87,
  └─ Loans n Advances,1,1,7,7,10,15,17,21,13,18,12,5,
  └─ Other asset items,102,112,71,66,115,76,99,60,103,85,85,113,
Total Assets,920,936,978,1000,1356,1294,1426,1396,1696,1719,1898,2000,
