Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,11,11,11,22,22,22,22,22
Reserves,393,412,439,453,486,517,541,674
Borrowings,404,445,369,380,336,440,540,531
  └─ Long term Borrowings,269,279,231,202,140,114,269,276
  └─ Short term Borrowings,79,113,133,173,190,214,175,163
  └─ Lease Liabilities,0,0,5,5,5,112,97,92
  └─ Other Borrowings,55,53,0,0,0,0,0,
Other Liabilities,398,339,414,473,456,577,569,604
  └─ Trade Payables,205,165,206,270,257,331,316,295
  └─ Advance from Customers,11,8,13,38,16,57,45,
  └─ Other liability items,182,166,196,165,182,188,208,309
Total Liabilities,1205,1207,1233,1327,1299,1556,1672,1831
Fixed Assets,832,817,860,856,881,906,922,1173
  └─ Land,18.85,25.76,25.76,27.08,25.78,130.98,121.05,
  └─ Building,93.90,104.33,120.49,121.25,122.94,122.94,124.29,
  └─ Plant Machinery,888.44,915.06,1006.03,1073.05,1170.23,1172.62,1278.08,
  └─ Equipments,2.92,3.15,3.20,3.31,3.47,3.76,3.87,
  └─ Computers,2.09,2.12,2.31,2.65,3.00,3.45,3.83,
  └─ Furniture n fittings,1.76,1.84,2.46,3.10,3.37,3.47,3.90,
  └─ Vehicles,4.48,6.60,6.21,6.37,6.74,6.19,5.65,
  └─ Intangible Assets,6.48,6.48,6.48,6.98,7.20,7.20,7.51,0.88
  └─ Other fixed assets,2.22,2.30,2.31,2.61,3.79,4.40,4.69,
  └─ Gross Block,1021.14,1067.64,1175.25,1246.40,1346.52,1455.01,1552.87,
  └─ Accumulated Depreciation,189.37,250.27,315.47,389.96,465.35,548.60,630.49,
CWIP,51,143,83,62,23,162,308,110
Investments,17,21,24,26,27,34,38,41
Other Assets,305,226,266,382,368,453,404,507
  └─ Inventories,169,123,153,211,203,267,250,269
  └─ Trade receivables,74,52,62,90,82,125,87,117
  └─ Cash Equivalents,1,2,3,4,6,2,2,5
  └─ Loans n Advances,9,8,5,7,64,34,28,4
  └─ Other asset items,51,42,44,70,12,24,36,112
Total Assets,1205,1207,1233,1327,1299,1556,1672,1831
