Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,52,68,79,87,87,87,87,87,87,87,87,87,87
Reserves,61,115,492,450,256,111,-92,-332,-584,-863,-1047,-1256,-1332
Borrowings,1262,1395,1135,1371,1448,1454,1179,1018,983,919,773,772,767
  └─ Long term Borrowings,1048,938,798,1038,597,742,423,214,90,13,13,12,8
  └─ Short term Borrowings,47,47,3,20,157,162,139,802,892,904,759,758,757
  └─ Lease Liabilities,0,0,0,0,0,0,0,2,2,3,2,2,2
  └─ Other Borrowings,167,411,334,313,694,549,617,-0,-0,0,-0,,
Other Liabilities,447,658,1225,1231,1298,1161,1201,1085,1168,1267,1512,1712,1823
  └─ Non controlling int,26,68,78,92,116,105,93,91,82,47,26,23,19
  └─ Trade Payables,245,261,329,409,526,658,738,643,684,720,963,1044,1139
  └─ Advance from Customers,3,20,15,37,46,53,39,29,30,34,20,,
  └─ Other liability items,173,309,802,693,611,346,331,322,372,466,502,645,665
Total Liabilities,1823,2236,2931,3139,3089,2813,2375,1858,1654,1410,1326,1315,1346
Fixed Assets,768,895,1389,1711,2031,1762,1508,1236,1007,732,513,425,409
  └─ Land,1,1,47,47,47,47,47,47,47,47,47,,
  └─ Building,8,8,12,12,47,48,50,50,40,42,43,,
  └─ Plant Machinery,263,300,426,575,670,702,695,706,685,687,491,,
  └─ Equipments,8,11,14,14,15,14,15,15,15,15,10,,
  └─ Computers,11,12,28,30,32,33,33,32,19,19,10,,
  └─ Furniture n fittings,6,7,8,9,20,21,24,24,22,22,19,,
  └─ Vehicles,2,3,3,4,4,5,3,3,4,4,4,,
  └─ Intangible Assets,211,211,235,236,236,234,234,234,234,234,234,56,54
  └─ Other fixed assets,616,841,1283,1694,2186,2115,2173,2212,2260,2291,2302,,
  └─ Gross Block,1127,1393,2057,2621,3257,3218,3274,3324,3326,3360,3161,,
  └─ Accumulated Depreciation,359,498,668,910,1227,1456,1766,2088,2319,2629,2648,,
CWIP,170,199,538,429,153,99,59,55,86,61,69,78,60
Investments,2,2,2,5,5,15,20,11,14,2,80,102,120
Other Assets,883,1141,1001,993,901,937,788,555,547,615,663,710,756
  └─ Inventories,10,14,12,9,15,2,1,2,2,2,2,3,4
  └─ Trade receivables,195,328,259,363,369,396,300,233,255,252,265,255,259
  └─ Cash Equivalents,353,434,375,171,126,78,178,115,93,183,202,216,209
  └─ Loans n Advances,-38,-21,13,62,63,6,-39,-44,57,36,32,25,11
  └─ Other asset items,364,385,342,388,329,455,348,249,140,143,161,211,274
Total Assets,1823,2236,2931,3139,3089,2813,2375,1858,1654,1410,1326,1315,1346
