Metric,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Sep 2019
Equity Capital,71,71,74,81,83,88,90,90,90,90,90,90,90
Reserves,166,-53,-28,46,-262,-317,-308,-371,-476,-780,-877,-944,-987
Borrowings,1039,1086,1000,944,1005,1028,771,742,877,570,808,821,314
  └─ Long term Borrowings,,,,714,676,584,382,286,107,35,31,0,0
  └─ Short term Borrowings,,,,107,108,126,173,200,326,522,319,313,314
  └─ Other Borrowings,1039,1086,1000,122,220,318,216,256,444,12,458,508,
Other Liabilities,347,307,290,295,317,320,249,296,251,537,233,278,814
  └─ Non controlling int,7,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Trade Payables,234,202,195,237,238,211,142,182,87,120,62,60,52
  └─ Advance from Customers,0,0,3,4,4,4,10,12,8,2,3,7,
  └─ Other liability items,105,105,91,54,76,105,98,101,155,415,168,211,762
Total Liabilities,1623,1411,1336,1367,1143,1119,801,757,741,417,254,244,230
Fixed Assets,944,939,817,760,746,667,231,235,222,208,163,153,148
  └─ Land,8.79,8.74,8.67,0.00,9.07,7.36,6.32,6.32,6.32,3.30,2.89,2.89,
  └─ Building,322.19,337.27,324.95,0.00,354.57,321.87,134.83,135.24,135.24,135.33,119.39,119.39,
  └─ Plant Machinery,1113.15,1152.85,1113.90,0.00,1116.32,1120.96,577.15,577.63,579.46,578.83,497.94,496.84,
  └─ Equipments,0.00,0.00,0.00,0.00,110.83,118.48,11.75,11.71,11.75,11.37,8.93,8.92,
  └─ Furniture n fittings,66.97,79.30,73.26,0.00,14.72,13.55,4.70,4.70,4.69,5.19,4.38,4.37,
  └─ Vehicles,5.35,5.88,6.15,0.00,6.47,6.73,3.90,3.90,3.69,3.18,2.24,0.54,
  └─ Intangible Assets,69.82,69.12,62.49,0.00,69.48,73.40,10.89,10.89,10.89,10.89,0.00,0.00,0.00
  └─ Other fixed assets,4.56,4.87,4.82,1592.41,5.02,5.03,3.40,3.41,3.40,3.42,3.42,3.42,
  └─ Gross Block,1590.83,1658.03,1594.24,1592.41,1686.48,1667.38,752.94,753.80,755.44,751.51,639.19,636.37,
  └─ Accumulated Depreciation,647.05,719.32,777.35,832.06,940.60,1000.58,521.95,519.25,533.78,543.45,476.43,483.66,
CWIP,48,29,29,30,32,34,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,239,244,260,20,0,0,0
Other Assets,631,443,490,576,365,418,331,278,259,189,91,91,82
  └─ Inventories,287,156,127,235,116,145,105,64,46,55,24,6,5
  └─ Trade receivables,134,80,64,68,74,65,34,33,46,38,10,6,8
  └─ Cash Equivalents,12,35,26,20,7,8,4,3,5,1,2,1,1
  └─ Loans n Advances,8,7,7,41,16,11,23,17,23,1,15,7,7
  └─ Other asset items,190,164,266,212,152,188,164,161,140,93,40,72,60
Total Assets,1623,1411,1336,1367,1143,1119,801,757,741,417,254,244,230
