Metric,Mar 2025,Mar 2026
Equity Capital,24,24
Reserves,89,101
Borrowings,5,38
  └─ Long term Borrowings,3.50,3.88
  └─ Short term Borrowings,1.75,34.00
Other Liabilities,11,27
  └─ Non controlling int,0.00,6.13
  └─ Trade Payables,7.04,12.08
  └─ Other liability items,3.58,9.08
Total Liabilities,129,190
Fixed Assets,19,21
  └─ Intangible Assets,0.02,1.45
CWIP,0,0
Investments,0,0
Other Assets,110,169
  └─ Inventories,57,80
  └─ Trade receivables,29,58
  └─ Cash Equivalents,22,20
  └─ Loans n Advances,1,3
  └─ Other asset items,1,7
Total Assets,129,190
