Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,13,13,13,13,13,13
Reserves,55,65,69,77,108,159
Borrowings,21,51,142,170,149,161
  └─ Long term Borrowings,0,0,88,86,71,120
  └─ Short term Borrowings,20,51,55,84,78,41
  └─ Other Borrowings,0,0,-0,0,0,
Other Liabilities,33,37,38,46,59,73
  └─ Trade Payables,7.83,12.23,18.02,25.41,28.29,32.08
  └─ Advance from Customers,1.74,1.47,1.00,0.73,0.82,
  └─ Other liability items,23.24,23.37,19.46,19.89,30.33,41.18
Total Liabilities,121,165,263,306,330,407
Fixed Assets,19,26,27,149,145,214
  └─ Land,0.93,5.92,7.15,7.19,7.36,
  └─ Building,4.10,3.87,3.88,17.16,18.74,
  └─ Plant Machinery,31.51,33.43,34.89,147.17,148.36,
  └─ Equipments,0.49,0.54,0.57,0.78,0.89,
  └─ Computers,0.58,0.64,0.67,0.71,0.77,
  └─ Furniture n fittings,0.64,0.72,0.72,0.83,0.88,
  └─ Vehicles,2.31,2.65,2.63,2.70,3.05,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.12
  └─ Other fixed assets,0.16,0.16,0.17,0.18,0.23,
  └─ Gross Block,40.72,47.93,50.68,176.72,180.28,
  └─ Accumulated Depreciation,21.55,22.15,23.64,27.83,35.44,
CWIP,0,0,91,0,16,19
Investments,0,0,0,0,0,0
Other Assets,102,139,144,157,169,174
  └─ Inventories,68,94,85,96,84,89
  └─ Trade receivables,21,19,19,27,48,47
    └─ Receivables over 6m,3.37,3.31,3.95,4.63,4.10,
    └─ Receivables under 6m,17.59,15.68,15.47,22.71,43.61,
  └─ Cash Equivalents,1,5,4,2,3,8
  └─ Loans n Advances,1,2,1,1,1,0
  └─ Other asset items,12,20,36,32,34,29
Total Assets,121,165,263,306,330,407
