Metric,Mar 2024,Mar 2025,Mar 2026
Equity Capital,2,10,10
Reserves,154,224,300
Borrowings,13,19,24
  └─ Long term Borrowings,0.00,1.15,3.08
  └─ Short term Borrowings,0.00,1.53,8.50
  └─ Lease Liabilities,13.45,16.75,12.91
  └─ Other Borrowings,0.01,0.00,
Other Liabilities,5,20,62
  └─ Non controlling int,0.00,0.39,10.69
  └─ Trade Payables,0.21,7.89,19.88
  └─ Advance from Customers,0.30,3.13,
  └─ Other liability items,4.79,8.90,31.70
Total Liabilities,174,274,397
Fixed Assets,25,30,85
  └─ Building,0,0,
  └─ Plant Machinery,0,1,
  └─ Computers,0,0,
  └─ Furniture n fittings,0,2,
  └─ Vehicles,2,2,
  └─ Intangible Assets,0,0,67
  └─ Other fixed assets,30,33,
  └─ Gross Block,33,38,
  └─ Accumulated Depreciation,8,8,
CWIP,0,0,0
Investments,34,8,14
Other Assets,115,236,298
  └─ Inventories,36,96,122
  └─ Trade receivables,44,96,98
    └─ Receivables over 6m,0,9,
    └─ Receivables under 6m,44,88,
    └─ Prov for Doubtful,-0,-2,
  └─ Cash Equivalents,18,14,18
  └─ Loans n Advances,2,6,5
  └─ Other asset items,15,23,55
Total Assets,174,274,397
