Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,43,53,54,54,66,66,133,268,268,278,279,349,
Reserves,170,610,729,2572,2671,2737,2755,2690,2898,3110,3457,4397,
Borrowings,5,6,136,67,40,26,20,7,8,83,172,430,
  └─ Long term Borrowings,2,0,0,35,27,18,11,0,0,71,66,266,
  └─ Short term Borrowings,3,4,136,32,14,9,9,0,0,1,87,133,
  └─ Lease Liabilities,0,0,0,0,0,0,0,7,8,12,20,30,
  └─ Other Borrowings,0,2,0,0,0,0,0,0,0,0,-0,,
Other Liabilities,50,81,124,275,396,300,642,889,930,1670,1461,2126,
  └─ Non controlling int,0,-0,-1,0,-1,-2,-0,-3,1,-2,108,231,
  └─ Trade Payables,31,27,17,25,18,30,22,39,15,15,32,25,
  └─ Advance from Customers,0,10,72,16,8,13,4,4,4,8,2,,
  └─ Other liability items,19,45,36,234,369,259,616,849,911,1649,1319,1870,
Total Liabilities,268,750,1043,2968,3174,3130,3550,3854,4104,5142,5369,7302,
Fixed Assets,51,67,90,2115,2102,2126,2101,2080,2143,2125,2275,3104,
  └─ Building,1,1,1,159,168,181,185,188,190,206,227,,
  └─ Plant Machinery,8,2,2,2,5,1,1,1,1,1,1,,
  └─ Equipments,0,0,0,1,11,1,1,1,1,2,3,,
  └─ Computers,62,75,102,137,130,208,247,276,299,391,587,,
  └─ Furniture n fittings,2,1,1,11,9,10,10,10,11,14,17,,
  └─ Vehicles,1,0,0,1,7,8,8,8,10,10,13,,
  └─ Intangible Assets,7,6,25,1717,1674,1672,1680,1689,1705,1705,1730,2753,
  └─ Other fixed assets,-0,0,-0,193,193,193,192,192,274,192,192,,
  └─ Gross Block,81,84,130,2221,2197,2274,2323,2366,2491,2520,2771,,
  └─ Accumulated Depreciation,30,17,40,106,96,148,223,285,347,395,496,,
CWIP,26,19,121,60,32,0,16,146,74,311,448,1,
Investments,0,0,60,27,102,392,457,394,461,543,485,814,
Other Assets,191,664,772,768,938,612,976,1234,1425,2163,2161,3384,
  └─ Inventories,12,24,9,12,0,0,0,0,0,0,0,0,
  └─ Trade receivables,33,48,56,111,24,53,73,81,65,116,89,114,
    └─ Receivables over 6m,9,48,0,0,0,0,0,0,0,8,12,,6
    └─ Receivables under 6m,24,0,57,114,29,59,80,91,78,128,98,,13
    └─ Prov for Doubtful,0,-0,-1,-4,-4,-5,-8,-10,-13,-19,-20,,-2
  └─ Cash Equivalents,60,517,307,183,133,99,178,210,272,696,331,928,
  └─ Loans n Advances,9,17,89,67,62,67,61,61,134,90,178,401,
  └─ Other asset items,77,58,312,396,718,392,664,882,954,1261,1561,1940,
Total Assets,268,750,1043,2968,3174,3130,3550,3854,4104,5142,5369,7302,
