Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Jun 2024
Equity Capital,0.23,2,2,3,3,3,6,6,
Reserves,14,15,16,21,24,28,32,41,
Borrowings,0,0,0,0,0,0,0,0,
  └─ Long term Borrowings,0.00,0.33,0.33,0.28,0.00,0.00,0.00,0.00,0.00
  └─ Other Borrowings,0.33,0.00,0.00,0.00,0.00,0.00,0.00,,
Other Liabilities,6,6,3,4,8,10,10,13,
  └─ Trade Payables,0.39,0.13,0.11,0.25,0.47,0.65,0.52,1.35,0.65
  └─ Advance from Customers,0.00,0.00,1.67,2.32,5.56,6.63,6.68,,
  └─ Other liability items,5.25,5.57,1.42,1.53,1.84,2.69,2.30,11.39,9.32
Total Liabilities,21,23,22,28,35,41,48,60,
Fixed Assets,1,1,2,3,3,4,4,1,
  └─ Plant Machinery,0.41,0.42,0.76,0.89,0.95,1.21,1.39,,
  └─ Equipments,0.01,0.02,0.16,0.16,0.11,0.13,0.14,,
  └─ Computers,0.04,0.05,0.35,0.41,0.16,0.20,0.22,,
  └─ Furniture n fittings,0.10,0.08,0.28,0.42,0.43,0.43,0.43,,
  └─ Vehicles,0.00,0.00,0.00,0.00,0.00,0.00,0.32,,
  └─ Other fixed assets,0.01,0.00,1.27,2.80,2.79,2.80,2.81,,
  └─ Gross Block,0.57,0.57,2.82,4.68,4.44,4.77,5.31,,
  └─ Accumulated Depreciation,0.00,0.00,1.06,1.20,0.99,1.18,1.45,,
CWIP,0,0,0,0,0,0,0,0,
Investments,2,4,5,6,9,15,20,28,
Other Assets,18,18,14,19,22,23,25,31,
  └─ Inventories,2.90,2.65,3.04,2.78,4.56,2.76,2.98,4.00,2.76
  └─ Trade receivables,5.59,5.46,4.89,3.14,4.44,6.59,3.67,6.87,6.59
    └─ Receivables over 6m,1.23,1.35,1.07,1.29,0.65,1.30,1.16,,
    └─ Receivables under 6m,4.36,4.12,3.82,1.85,3.80,5.35,2.80,,
    └─ Prov for Doubtful,0.00,0.00,0.00,0.00,0.00,-0.05,-0.29,,
  └─ Cash Equivalents,3.36,4.11,2.11,8.20,9.30,7.50,6.92,9.66,7.50
  └─ Loans n Advances,0.00,0.00,0.04,0.08,0.06,0.08,0.06,2.09,0.69
  └─ Other asset items,5.71,5.89,4.40,4.58,4.11,5.98,11.01,8.37,5.36
Total Assets,21,23,22,28,35,41,48,60,
