Metric,Mar 2021,Mar 2022,Mar 2023
Equity Capital,4.76,4.76,4.76
Reserves,4.62,5.40,6.99
Borrowings,7.22,6.80,6.56
  └─ Long term Borrowings,3.50,2.56,2.56
  └─ Short term Borrowings,2.03,2.56,2.50
  └─ Other Borrowings,1.69,1.68,1.50
Other Liabilities,8.83,8.21,10.75
  └─ Trade Payables,7.09,7.14,9.96
  └─ Other liability items,1.74,1.07,0.79
Total Liabilities,25.43,25.17,29.06
Fixed Assets,11.77,11.25,11.66
  └─ Equipments,10.53,12.26,13.79
  └─ Other fixed assets,1.24,0.00,0.00
  └─ Gross Block,11.77,12.26,13.79
  └─ Accumulated Depreciation,0.00,1.02,2.13
CWIP,0.00,0.00,0.00
Investments,0.00,0.00,0.00
Other Assets,13.66,13.92,17.40
  └─ Inventories,7.04,8.72,9.93
  └─ Trade receivables,5.24,2.74,6.17
    └─ Receivables over 6m,5.24,2.74,6.17
  └─ Cash Equivalents,0.04,0.23,0.10
  └─ Other asset items,1.34,2.23,1.20
Total Assets,25.43,25.17,29.06
