Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,2,2,11,11,11,12,13,26,31,35,74
Reserves,156,221,341,396,490,646,1028,1078,1968,2828,3399
Borrowings,0,0,8,9,8,1,4,38,28,219,215
  └─ Long term Borrowings,,0,0,0,0,0,0,0,0,92,49
  └─ Short term Borrowings,,0,0,0,0,0,0,30,9,49,63
  └─ Lease Liabilities,,0,14,9,8,1,4,8,18,78,103
  └─ Other Borrowings,0,0,-5,0,0,0,0,0,0,0,
Other Liabilities,41,42,105,92,243,359,358,555,727,1336,683
  └─ Non controlling int,0,0,35,32,69,121,157,212,336,374,78
  └─ Trade Payables,26,24,23,25,69,61,50,198,240,547,376
  └─ Advance from Customers,0,1,1,0,1,2,3,8,47,19,
  └─ Other liability items,15,17,45,35,103,175,148,137,104,395,228
Total Liabilities,200,265,465,509,752,1018,1404,1698,2753,4418,4371
Fixed Assets,2,2,152,137,327,296,424,583,608,1731,1473
  └─ Building,0,0,0,0,0,0,20,21,28,124,
  └─ Plant Machinery,0,0,0,0,0,0,0,0,0,8,
  └─ Equipments,0,0,1,1,16,1,2,3,4,4,
  └─ Computers,5,4,11,16,19,24,35,9,10,18,
  └─ Furniture n fittings,0,0,0,1,1,1,1,2,2,9,
  └─ Vehicles,0,0,1,1,1,1,1,1,1,2,
  └─ Intangible Assets,0,0,103,104,310,309,457,585,677,1685,1328
  └─ Other fixed assets,0,1,49,47,32,34,32,134,139,238,
  └─ Gross Block,6,6,165,169,378,371,549,755,861,2087,
  └─ Accumulated Depreciation,4,5,13,32,51,74,125,172,253,356,
CWIP,0,0,1,1,6,2,1,0,0,14,1
Investments,55,77,98,127,58,118,442,332,439,1312,2064
Other Assets,142,187,214,243,360,601,537,783,1706,1362,834
  └─ Inventories,0,0,0,0,0,0,1,25,2,3,3
  └─ Trade receivables,33,26,43,45,68,69,85,186,275,576,376
    └─ Receivables over 6m,3,0,0,0,0,42,27,35,39,63,
    └─ Receivables under 6m,31,33,54,62,80,41,75,173,255,537,
    └─ Prov for Doubtful,-1,-7,-10,-18,-12,-15,-18,-22,-19,-24,
  └─ Cash Equivalents,76,114,117,133,187,372,323,329,1210,458,255
  └─ Loans n Advances,3,3,2,3,10,19,16,45,77,98,10
  └─ Other asset items,30,44,51,63,95,142,112,198,143,226,189
Total Assets,200,265,465,509,752,1018,1404,1698,2753,4418,4371
