Metric,Mar 2024,Mar 2025,Mar 2026
Equity Capital,24,24,24
Reserves,82,92,96
Borrowings,5,5,14
  └─ Long term Borrowings,3.42,2.88,7.57
  └─ Short term Borrowings,1.45,2.55,6.70
Other Liabilities,83,91,100
  └─ Non controlling int,1,1,4
  └─ Trade Payables,58,56,90
  └─ Advance from Customers,0,0,
  └─ Other liability items,23,33,7
Total Liabilities,195,214,235
Fixed Assets,6,7,13
  └─ Building,3.20,3.20,
  └─ Equipments,1.55,1.94,
  └─ Computers,3.89,4.36,
  └─ Furniture n fittings,3.31,3.84,
  └─ Vehicles,5.42,6.82,
  └─ Intangible Assets,0.00,0.00,0.01
  └─ Other fixed assets,0.51,0.52,
  └─ Gross Block,17.88,20.68,
  └─ Accumulated Depreciation,11.99,13.64,
CWIP,1,4,0
Investments,8,11,14
Other Assets,180,192,207
  └─ Inventories,0,0,0
  └─ Trade receivables,97,103,112
    └─ Receivables over 6m,15,23,
    └─ Receivables under 6m,82,81,
    └─ Prov for Doubtful,-1,-1,
  └─ Cash Equivalents,16,15,18
  └─ Loans n Advances,29,27,63
  └─ Other asset items,38,46,14
Total Assets,195,214,235
