Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,22,78,78,78,78,86,94,94,94,94
Reserves,65,17,22,31,39,136,162,194,248,321
Borrowings,2,3,6,6,12,58,83,72,5,1
  └─ Short term Borrowings,2.05,3.30,6.08,5.62,12.45,57.79,83.18,72.49,4.58,1.47
Other Liabilities,33,42,31,61,50,28,39,44,67,117
  └─ Trade Payables,19,29,20,47,32,14,20,24,43,74
  └─ Advance from Customers,1,0,1,1,2,1,4,4,4,
  └─ Other liability items,13,12,11,13,16,13,14,16,20,43
Total Liabilities,123,140,138,175,180,308,378,405,413,534
Fixed Assets,50,50,46,46,55,94,91,120,125,184
  └─ Land,0.12,0.12,0.12,0.12,0.29,0.29,0.29,0.29,0.29,
  └─ Building,32.91,33.63,34.07,34.80,37.88,34.33,34.33,44.08,44.87,
  └─ Plant Machinery,27.74,28.91,30.38,30.50,34.32,44.07,44.34,64.91,74.04,
  └─ Equipments,2.67,2.75,2.99,3.10,3.53,4.05,4.11,4.25,4.27,
  └─ Computers,1.04,1.07,1.13,1.16,1.19,1.26,1.29,1.33,1.39,
  └─ Furniture n fittings,8.47,9.03,9.80,10.80,12.19,13.63,13.93,17.20,17.45,
  └─ Vehicles,1.11,1.33,1.54,1.54,2.11,2.46,2.93,2.89,2.60,
  └─ Intangible Assets,-0.00,-0.00,-0.00,-0.00,-0.00,0.05,0.05,0.05,0.05,0.40
  └─ Other fixed assets,0.34,0.34,0.40,0.39,0.47,47.67,47.99,48.00,48.00,
  └─ Gross Block,74.40,77.18,80.43,82.41,91.98,147.81,149.26,183.00,192.96,
  └─ Accumulated Depreciation,23.93,26.93,34.65,36.56,36.94,54.07,58.53,63.25,68.05,
CWIP,0,0,0,5,0,6,26,0,0,0
Investments,7,9,6,23,36,43,64,66,93,109
Other Assets,66,80,85,101,89,165,197,219,196,241
  └─ Inventories,6,10,11,15,10,20,21,21,41,63
  └─ Trade receivables,29,29,31,46,46,68,76,103,108,110
    └─ Receivables over 6m,1,0,0,0,9,1,72,15,9,
    └─ Receivables under 6m,28,29,31,46,37,67,4,88,98,
  └─ Cash Equivalents,4,5,7,6,7,0,9,68,1,6
  └─ Loans n Advances,1,1,1,1,1,4,3,5,6,27
  └─ Other asset items,26,35,36,34,26,74,89,22,40,35
Total Assets,123,140,138,175,180,308,378,405,413,534
