Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,9,12,12,12,12,12,12,12,12,12,12,12,12
Reserves,3877,5408,3682,2624,7,-5320,-15332,-16834,-19524,-22308,-23884,-25414,-26888
Borrowings,14842,14341,14716,14005,13740,14351,15688,15185,15249,15135,15308,15697,16278
  └─ Long term Borrowings,11051,13088,13214,11827,60,64,-0,68,-0,-0,-0,-0,-0
  └─ Short term Borrowings,390,232,228,203,181,102,54,12,15249,15135,15308,15697,16278
  └─ Preference Capital,281,281,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
  └─ Other Borrowings,3120,740,1274,1975,13499,14185,15634,15105,-0,-0,0,-0,
Other Liabilities,1320,1212,1820,2087,3179,4615,5643,6257,7232,8889,10079,11238,12241
  └─ Non controlling int,0,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Trade Payables,912,895,813,750,676,948,936,605,337,392,392,175,196
  └─ Advance from Customers,0,0,0,0,0,0,4,0,0,0,0,0,
  └─ Other liability items,409,317,1007,1337,2503,3667,4702,5652,6895,8497,9687,11063,12044
Total Liabilities,20047,20973,20229,18728,16938,13657,6011,4619,2968,1727,1515,1533,1643
Fixed Assets,17866,18363,17197,16203,14369,11262,4052,3191,704,693,682,663,684
  └─ Land,13,13,13,13,13,13,13,13,13,1,1,1,
  └─ Building,15,15,11,11,11,11,11,11,11,11,11,11,
  └─ Plant Machinery,15554,16504,17023,16610,16668,18002,20094,18196,4247,2631,0,0,
  └─ Equipments,11,12,3,3,5,6,8,7,2,2,2,2,
  └─ Furniture n fittings,7,8,4,4,4,4,4,4,0,0,0,0,
  └─ Vehicles,6,7,3,3,3,3,3,3,4,2,4,4,
  └─ Wind turbines,188,133,11,7,7,7,7,7,7,0,0,0,
  └─ Intangible Assets,6610,6899,1031,1010,0,276,309,326,336,366,370,380,394
  └─ Other fixed assets,-0,-0,-0,-0,0,-0,-0,-0,-0,0,2679,2725,
  └─ Gross Block,22405,23590,18099,17660,16711,18321,20449,18567,4619,3012,3066,3122,
  └─ Accumulated Depreciation,4539,5227,902,1457,2342,7059,16397,15376,3915,2319,2384,2459,
CWIP,0,19,0,9,0,6,0,0,0,0,0,0,0
Investments,8,13,16,27,27,26,23,23,23,23,22,22,22
Other Assets,2173,2578,3016,2488,2542,2363,1935,1405,2241,1010,811,848,937
  └─ Inventories,379,379,409,377,378,417,461,290,196,97,112,115,125
  └─ Trade receivables,1280,1594,2320,1855,1873,1113,1098,538,418,327,139,81,63
    └─ Receivables over 6m,715,860,1854,0,0,0,0,0,936,1017,696,693,
    └─ Receivables under 6m,767,1022,867,1855,1873,1141,1255,1120,95,42,92,55,
    └─ Prov for Doubtful,-202,-289,-401,0,0,-28,-158,-581,-613,-732,-649,-667,
  └─ Cash Equivalents,141,115,133,94,83,72,46,74,88,148,44,192,149
  └─ Loans n Advances,167,65,17,38,44,34,62,67,6,1,2,3,330
  └─ Other asset items,206,425,137,124,163,728,267,435,1533,437,515,457,270
Total Assets,20047,20973,20229,18728,16938,13657,6011,4619,2968,1727,1515,1533,1643
