Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,560,760,897,925,934,934,950,961,961,963
Reserves,540,905,936,1395,1511,1674,1425,823,664,943
Borrowings,1524,1226,1259,1216,1465,1613,1877,1801,1481,765
  └─ Long term Borrowings,300,300,300,180,300,240,180,120,60,0
  └─ Short term Borrowings,879,926,959,1036,1164,1372,1696,1681,1421,765
  └─ Lease Liabilities,0,0,0,0,1,1,1,1,0,0
  └─ Other Borrowings,344,0,0,0,0,0,0,0,0,
Other Liabilities,2965,4189,3943,4225,5043,5394,5280,6054,7340,6676
  └─ Trade Payables,1976,2262,1805,2183,1885,1690,1377,1580,3270,2891
  └─ Advance from Customers,223,679,549,566,1032,1034,996,1964,1846,
  └─ Other liability items,766,1249,1589,1476,2126,2670,2908,2510,2224,3785
Total Liabilities,5588,7081,7034,7761,8953,9615,9531,9639,10445,9347
Fixed Assets,2506,2620,2695,2693,2702,2729,2752,2732,2710,2370
  └─ Land,2259.67,2248.01,2219.47,2219.48,2218.36,2217.34,2216.67,2216.67,2004.68,
  └─ Building,101.87,112.94,112.18,130.81,145.56,147.07,149.58,150.13,223.91,
  └─ Plant Machinery,111.32,235.68,340.00,360.60,394.37,448.49,507.14,509.23,561.33,
  └─ Equipments,1.93,2.09,2.58,2.81,3.44,4.10,5.56,6.26,8.73,
  └─ Furniture n fittings,0.40,0.42,0.52,0.70,0.76,1.36,1.44,1.80,1.86,
  └─ Vehicles,0.38,1.46,1.39,1.39,2.41,2.50,2.78,2.74,2.52,
  └─ Other fixed assets,48.80,61.86,98.04,98.53,98.87,121.44,130.76,143.07,266.76,
  └─ Gross Block,2524.37,2662.46,2774.18,2814.32,2863.77,2942.30,3013.93,3029.90,3069.79,
  └─ Accumulated Depreciation,17.99,42.79,79.66,121.55,161.66,212.87,261.57,297.93,359.98,
CWIP,102,149,165,189,169,150,139,142,19,16
Investments,41,38,40,38,36,35,35,35,54,54
Other Assets,2939,4274,4135,4841,6046,6701,6605,6730,7664,6907
  └─ Inventories,177,192,185,213,234,233,290,264,275,206
  └─ Trade receivables,2196,3080,2657,2761,2552,2730,2429,2455,3991,2906
    └─ Receivables over 6m,2242,2510,2437,2665,2552,-0,2179,2324,2685,
    └─ Receivables under 6m,-0,617,267,143,-0,2785,327,132,1306,
    └─ Prov for Doubtful,-47,-47,-47,-47,-0,-56,-77,-0,-0,
  └─ Cash Equivalents,166,325,204,245,548,306,215,836,422,351
  └─ Loans n Advances,-31,48,32,26,52,97,117,-20,10,537
  └─ Other asset items,431,629,1058,1596,2660,3334,3555,3195,2967,2909
Total Assets,5588,7081,7034,7761,8953,9615,9531,9639,10445,9347
