Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,7,7,7,46,58,64,64,67
Reserves,86,96,132,156,901,2423,2776,4681
Borrowings,156,153,148,189,155,323,903,913
  └─ Long term Borrowings,30,10,17,29,15,11,67,337
  └─ Short term Borrowings,126,134,122,140,121,295,808,538
  └─ Lease Liabilities,0,9,9,20,19,16,28,38
  └─ Preference Capital,0,0,0,0,0,0,0,0
  └─ Other Borrowings,0,0,0,-0,-0,0,0,
Other Liabilities,115,122,132,231,304,456,898,1233
  └─ Non controlling int,1,1,1,1,1,2,4,14
  └─ Trade Payables,90,92,95,164,223,361,683,851
  └─ Advance from Customers,3,2,9,14,20,8,9,
  └─ Other liability items,21,28,27,52,60,85,202,368
Total Liabilities,363,378,419,622,1418,3265,4641,6894
Fixed Assets,53,66,80,113,132,319,845,1732
  └─ Land,2,2,2,3,9,9,53,
  └─ Building,10,12,19,19,19,75,77,
  └─ Plant Machinery,48,53,58,68,93,201,427,
  └─ Equipments,1,2,2,2,2,3,6,
  └─ Computers,3,3,3,3,4,6,12,
  └─ Furniture n fittings,6,7,8,9,9,23,36,
  └─ Vehicles,5,6,6,7,8,11,15,
  └─ Intangible Assets,6,7,17,35,35,51,160,536
  └─ Other fixed assets,2,12,12,25,25,35,218,
  └─ Gross Block,83,104,127,171,205,414,1004,
  └─ Accumulated Depreciation,30,39,47,58,73,94,159,
CWIP,2,12,13,8,29,105,391,372
Investments,2,2,2,2,3,132,132,257
Other Assets,306,299,325,499,1254,2709,3273,4532
  └─ Inventories,122,151,164,226,413,548,814,1103
  └─ Trade receivables,123,94,122,198,227,356,575,1528
  └─ Cash Equivalents,32,12,14,22,486,1526,1056,799
  └─ Loans n Advances,21,27,12,35,82,86,102,23
  └─ Other asset items,9,14,13,19,46,194,725,1080
Total Assets,363,378,419,622,1418,3265,4641,6894
