Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,25,25,25,25,25,25,25,25,25,25,25,25,25
Reserves,34,34,34,34,33,33,33,33,32,31,30,-23,-24
Borrowings,0,0,0,0,0,1,1,2,3,3,3,2,2
  └─ Long term Borrowings,0.03,0.05,0.06,0.12,0.22,0.73,0.00,0.49,0.38,0.32,0.27,0.22,0.19
  └─ Short term Borrowings,0.03,0.09,0.24,0.38,0.25,0.54,0.81,1.22,2.32,2.57,2.88,1.83,1.87
  └─ Other Borrowings,0.03,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.01,-0.01,0.00,0.00,
Other Liabilities,1,1,1,1,2,2,2,2,2,2,2,2,2
  └─ Trade Payables,0.21,0.35,0.33,0.31,0.55,0.69,1.74,2.10,0.84,0.96,1.03,0.91,0.84
  └─ Other liability items,0.45,0.51,0.58,1.13,1.23,1.26,0.61,0.00,1.06,1.21,1.30,1.22,1.32
Total Liabilities,60,60,60,61,61,62,62,62,62,61,61,7,5
Fixed Assets,2,2,2,2,2,2,2,2,2,2,2,0,0
  └─ Building,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,0.57,
  └─ Plant Machinery,0.14,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.01,
  └─ Equipments,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.15,8.15,0.02,
  └─ Computers,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.15,0.00,0.00,0.00,
  └─ Furniture n fittings,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,0.00,
  └─ Vehicles,0.41,0.46,0.46,0.48,0.66,0.74,0.74,0.74,0.48,0.48,0.48,0.07,
  └─ Other fixed assets,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.01,
  └─ Gross Block,14.82,14.89,14.89,14.91,15.09,15.16,15.16,15.16,14.91,14.92,14.92,0.68,
  └─ Accumulated Depreciation,12.39,12.51,12.63,12.77,12.88,12.99,13.08,13.17,13.01,13.06,13.11,0.29,
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,0
Investments,18,18,18,18,18,18,18,18,17,17,17,1,0
Other Assets,39,39,40,40,40,41,42,43,42,42,42,6,5
  └─ Inventories,0.08,0.13,0.11,0.11,0.09,0.10,0.00,0.00,0.11,0.11,0.11,0.00,0.00
  └─ Trade receivables,16.51,17.02,17.44,18.52,18.50,19.43,19.94,20.95,20.34,19.64,19.43,3.98,3.91
    └─ Receivables over 6m,14.92,15.28,16.82,17.81,17.98,18.80,19.40,17.83,20.34,19.64,19.43,3.98,
    └─ Receivables under 6m,1.59,1.74,0.61,0.71,0.52,0.63,0.53,3.12,0.00,0.00,0.00,0.00,
  └─ Cash Equivalents,0.18,0.29,0.48,0.40,0.55,0.55,0.39,0.34,0.01,0.23,0.45,0.03,0.05
  └─ Loans n Advances,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.98
  └─ Other asset items,22.28,21.98,21.54,21.26,21.33,21.36,21.42,21.41,21.93,22.16,21.99,1.74,0.01
Total Assets,60,60,60,61,61,62,62,62,62,61,61,7,5
