Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,39,39,39,39,39,51,51
Reserves,112,157,218,279,359,777,816
Borrowings,102,141,150,215,269,176,226
  └─ Long term Borrowings,21,35,21,37,25,19,6
  └─ Short term Borrowings,75,100,130,174,241,153,211
  └─ Lease Liabilities,6,6,0,5,3,4,8
  └─ Preference Capital,11,12,0,0,0,0,0
  └─ Other Borrowings,-11,-12,0,-0,0,0,
Other Liabilities,105,88,83,70,86,100,113
  └─ Non controlling int,0,0,0,0,0,0,0
  └─ Trade Payables,92,78,65,54,70,80,83
  └─ Other liability items,13,9,17,16,17,20,30
Total Liabilities,359,425,490,604,754,1104,1205
Fixed Assets,73,73,74,91,105,154,206
  └─ Land,0.00,0.00,0.00,0.00,2.57,30.05,
  └─ Building,6.83,7.73,0.19,11.02,10.70,13.51,
  └─ Plant Machinery,1.57,2.01,0.00,18.35,26.30,45.97,
  └─ Equipments,31.29,36.51,0.00,50.60,56.12,65.38,
  └─ Computers,0.67,0.83,0.98,1.13,1.10,1.28,
  └─ Furniture n fittings,2.13,2.22,1.76,2.83,3.04,3.22,
  └─ Vehicles,81.25,85.49,3.84,95.89,113.66,126.33,
  └─ Intangible Assets,31.00,31.00,31.00,31.00,31.00,31.00,31.07
  └─ Other fixed assets,0.19,0.29,140.49,0.33,0.45,0.45,
  └─ Gross Block,154.93,166.08,178.26,211.15,244.94,317.19,
  └─ Accumulated Depreciation,81.91,93.37,103.82,120.22,139.75,163.54,
CWIP,-0,1,9,17,-0,15,31
Investments,3,3,1,4,3,3,3
Other Assets,283,349,406,492,646,932,965
  └─ Trade receivables,187,252,311,390,525,620,695
  └─ Cash Equivalents,9,11,13,20,27,190,38
  └─ Loans n Advances,36,30,20,3,30,29,127
  └─ Other asset items,51,56,61,81,63,92,104
Total Assets,359,425,490,604,754,1104,1205
