Metric,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Equity Capital,67,67,67,67,67,67,67,67,67,67,67,67
Reserves,2879,2870,3098,3877,4555,4893,5466,6042,8360,7275,6570,7382
Borrowings,7673,7596,7326,7332,7779,7845,8859,8489,9731,8690,8494,9824
  └─ Long term Borrowings,7168,7132,6852,3740,7242,7356,8001,7444,7795,7318,6484,7256
  └─ Short term Borrowings,343,259,182,319,502,397,516,605,1430,856,1377,1791
  └─ Lease Liabilities,0,0,0,0,0,0,0,441,506,517,633,777
  └─ Other Borrowings,162,204,292,3274,35,92,341,0,0,0,0,0
Other Liabilities,2734,2511,2354,3100,3297,3193,3471,3864,3787,3954,3803,3486
  └─ Non controlling int,22,2,70,101,143,195,172,256,356,423,187,242
  └─ Trade Payables,1001,1023,760,1148,1341,789,824,1397,1548,1349,1521,1243
  └─ Advance from Customers,11,15,17,30,18,19,17,19,16,16,18,10
  └─ Other liability items,1701,1471,1506,1821,1795,2190,2459,2192,1867,2165,2077,1991
Total Liabilities,13352,13044,12845,14376,15699,15998,17863,18463,21945,19987,18935,20759
Fixed Assets,8712,8540,8923,8690,9261,9492,11124,10939,11977,11357,11184,12543
  └─ Land,110,107,81,82,106,104,169,165,246,250,273,362
  └─ Building,831,816,535,531,537,618,807,980,1138,1114,1135,1353
  └─ Plant Machinery,6936,6872,2952,3097,3715,4277,5712,6234,7417,7906,8284,9437
  └─ Equipments,185,178,36,45,60,93,117,123,120,126,127,173
  └─ Furniture n fittings,259,251,77,113,143,149,180,176,173,191,196,246
  └─ Vehicles,45,43,13,15,34,106,262,269,304,309,332,624
  └─ Intangible Assets,5940,5856,5779,5782,6162,6264,6528,6383,6898,7053,7040,7824
  └─ Other fixed assets,1,6,1,5,4,5,5,5,6,6,5,7
  └─ Gross Block,14306,14130,9474,9669,10762,11616,13779,14336,16301,16956,17392,20026
  └─ Accumulated Depreciation,5595,5590,551,979,1501,2124,2655,3397,4325,5599,6208,7482
CWIP,269,411,226,441,795,1362,931,791,467,432,473,336
Investments,26,19,32,35,13,39,15,13,14,17,26,29
Other Assets,4345,4074,3664,5211,5631,5105,5793,6719,9487,8181,7252,7852
  └─ Inventories,1534,1621,1268,1999,2368,1742,1586,2512,4515,3176,3052,3623
  └─ Trade receivables,1371,1197,1039,1672,1604,1105,1091,1699,2494,2170,1730,2053
  └─ Cash Equivalents,900,860,1044,942,851,1169,1800,1384,1671,2006,1870,1526
  └─ Loans n Advances,64,76,88,149,170,129,169,366,402,206,203,249
  └─ Other asset items,477,320,225,450,637,960,1147,759,406,623,396,400
Total Assets,13352,13044,12845,14376,15699,15998,17863,18463,21945,19987,18935,20759
