Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,11071,11071,10259,10259,10045,10045,10045,10045,10045,10045,10045,10045,
Reserves,19687,20572,18756,19782,20753,21336,23008,24876,26916,28624,29623,31392,
Borrowings,20584,19938,19227,18602,19066,23226,23365,26096,29540,32561,39557,52327,
  └─ Long term Borrowings,18724,18181,17246,16728,17045,20892,21231,23227,26602,29382,35682,46174,
  └─ Short term Borrowings,0,0,302,280,416,714,2119,2849,2886,3111,3752,5960,
  └─ Lease Liabilities,0,0,0,0,0,0,15,21,52,68,123,193,
  └─ Other Borrowings,1860,1757,1679,1594,1605,1620,0,0,0,0,0,,
Other Liabilities,10094,11242,11946,14290,16870,16669,16717,16271,19710,21037,23455,26247,
  └─ Non controlling int,3326,3168,3382,2935,2868,2774,2835,2863,4874,5190,5495,6968,
  └─ Trade Payables,165,130,158,200,196,317,210,214,235,282,321,387,
  └─ Advance from Customers,172,4720,272,0,0,0,33,67,28,14,30,,
  └─ Other liability items,6431,3223,8134,11154,13805,13579,13639,13128,14573,15551,17609,18892,
Total Liabilities,61436,62823,60187,62933,66734,71277,73136,77288,86211,92267,102680,120011,
Fixed Assets,27916,22610,22227,21201,24977,24402,21993,21825,22137,21474,22168,50494,
  └─ Land,650,607,635,647,640,3860,3480,4277,5456,5552,5747,,
  └─ Building,23796,14966,15109,15161,19541,19715,18574,18633,18767,2752,3115,,
  └─ Plant Machinery,10993,6282,7009,7365,8379,8477,8036,8124,8311,8596,9211,,
  └─ Equipments,378,77,91,97,170,176,131,210,255,287,341,,
  └─ Computers,67,21,28,34,39,46,50,57,78,100,119,,
  └─ Furniture n fittings,64,28,33,38,41,54,55,60,75,89,114,,
  └─ Railway sidings,39,16,17,17,17,17,13,13,13,13,13,,
  └─ Vehicles,32,15,22,23,24,28,30,38,43,44,44,,
  └─ Intangible Assets,0,0,0,0,0,0,0,0,0,0,0,213,
  └─ Other fixed assets,4559,2043,2204,2216,2171,108,79,87,93,16154,16775,,
  └─ Gross Block,40576,24055,25148,25598,31022,32481,30448,31500,33091,33588,35480,,
  └─ Accumulated Depreciation,12660,1446,2921,4397,6045,8080,8455,9675,10954,12114,13312,,
CWIP,16378,16742,17588,19087,15037,17180,19167,22522,31357,39798,50601,34744,
Investments,1020,606,1020,1125,1283,1398,1842,2386,499,479,444,440,
Other Assets,16123,22866,19352,21520,25437,28297,30133,30554,32218,30516,29467,34333,
  └─ Inventories,115,115,111,114,133,135,142,144,164,195,263,294,
  └─ Trade receivables,2905,1905,1854,1346,2838,3583,5133,5176,6161,4420,4793,2629,
    └─ Receivables over 6m,1101,0,0,0,0,0,0,509,0,153,217,,762
    └─ Receivables under 6m,1839,1961,1908,1384,2876,3621,5167,4702,6196,4298,4654,,1695
    └─ Prov for Doubtful,-35,-56,-54,-38,-38,-38,-34,-35,-35,-31,-78,,-35
  └─ Cash Equivalents,6941,7284,3472,3319,2245,1693,2257,1958,2694,3622,2751,3651,
  └─ Loans n Advances,43,-146,508,243,359,476,446,62,95,159,837,10058,
  └─ Other asset items,6118,13709,13408,16498,19861,22410,22154,23214,23105,22120,20822,17701,
Total Assets,61436,62823,60187,62933,66734,71277,73136,77288,86211,92267,102680,120011,
