Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Sep 2020
Equity Capital,3.01,3.01,3.01,3.01,3.01,3.01
Reserves,1.00,1.33,1.47,1.62,1.76,1.69
Borrowings,0.00,0.00,0.00,0.00,0.00,0.00
Other Liabilities,0.03,0.01,0.01,0.00,0.01,0.01
  └─ Trade Payables,0.01,0.01,0.00,0.00,0.01,0.01
  └─ Other liability items,0.02,0.00,0.01,0.00,0.00,0.00
Total Liabilities,4.04,4.35,4.49,4.63,4.78,4.71
Fixed Assets,0.01,0.01,0.01,0.00,0.00,0.00
  └─ Computers,0.01,0.01,0.01,0.01,0.01,
  └─ Vehicles,0.00,0.01,0.01,0.01,0.01,
  └─ Other fixed assets,0.01,0.00,0.00,0.00,0.00,
  └─ Gross Block,0.02,0.02,0.02,0.02,0.02,
  └─ Accumulated Depreciation,0.01,0.01,0.02,0.02,0.02,
CWIP,0.00,0.00,0.00,0.00,0.00,0.00
Investments,1.96,2.79,3.49,3.57,4.45,4.37
Other Assets,2.07,1.55,0.99,1.06,0.33,0.34
  └─ Cash Equivalents,0.23,0.01,0.04,0.03,0.02,0.02
  └─ Loans n Advances,0.22,0.01,0.01,0.02,0.00,0.10
  └─ Other asset items,1.62,1.53,0.94,1.01,0.31,0.22
Total Assets,4.04,4.35,4.49,4.63,4.78,4.71
