Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.63,0.63,0.63,0.63,0.63,11,11,12
Reserves,6,7,9,10,12,47,66,79
Borrowings,2,1,1,2,2,0,1,21
  └─ Long term Borrowings,0.00,0.00,0.00,0.00,0.00,0.11,0.57,7.55
  └─ Short term Borrowings,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.33
  └─ Other Borrowings,1.95,1.43,1.29,2.29,1.54,0.00,0.00,
Other Liabilities,5,5,4,5,4,12,12,18
  └─ Trade Payables,3.38,4.40,2.99,4.38,2.96,5.93,3.80,8.37
  └─ Other liability items,1.13,0.71,1.16,0.74,0.84,5.61,8.45,9.92
Total Liabilities,13,14,15,18,18,70,89,130
Fixed Assets,1,1,1,1,1,3,4,4
  └─ Land,0.18,0.18,0.18,0.18,0.18,0.18,0.18,
  └─ Building,0.03,0.04,0.04,0.04,0.04,0.55,0.57,
  └─ Plant Machinery,0.00,0.00,0.00,0.01,0.01,0.55,0.81,
  └─ Equipments,0.16,0.17,0.18,0.20,0.22,0.00,0.00,
  └─ Computers,0.24,0.25,0.28,0.29,0.31,0.77,1.08,
  └─ Furniture n fittings,0.07,0.07,0.07,0.09,0.14,0.66,0.64,
  └─ Vehicles,1.16,1.16,1.30,1.77,1.89,0.34,0.76,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06
  └─ Other fixed assets,0.03,0.03,0.00,0.05,0.05,0.01,0.02,
  └─ Gross Block,1.87,1.90,2.05,2.63,2.84,3.06,4.06,
  └─ Accumulated Depreciation,1.19,1.31,1.44,1.63,1.88,0.00,0.00,
CWIP,0,0,0,0,0,0,0,0
Investments,1,0,0,0,0,21,30,21
Other Assets,11,13,14,17,17,45,55,105
  └─ Trade receivables,9,10,10,12,13,27,39,53
    └─ Receivables over 6m,2.61,4.24,4.78,4.16,6.09,7.27,12.55,
    └─ Receivables under 6m,6.53,6.53,5.10,7.72,6.65,19.56,26.81,
    └─ Prov for Doubtful,-0.07,-0.37,0.00,0.00,-0.13,0.00,0.00,
  └─ Cash Equivalents,0,0,0,1,1,8,3,20
  └─ Loans n Advances,0,0,0,0,0,1,0,3
  └─ Other asset items,2,3,3,4,3,9,13,29
Total Assets,13,14,15,18,18,70,89,130
