Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Sep 2014
Equity Capital,21.14,21.14,21.14,21.14,26.26,26.26,26.26,26.26,41.80,50.33,63.38,75.90,
Reserves,-139.59,-183.18,-193.61,-161.15,-106.79,-111.31,-119.69,-49.42,23.15,87.10,135.08,319.23,
Borrowings,330.84,329.72,305.74,305.74,496.93,113.64,127.70,87.36,64.25,73.66,87.12,68.52,
  └─ Long term Borrowings,114.61,22.10,0.00,12.75,419.55,12.75,12.75,35.50,35.50,47.38,58.91,49.86,
  └─ Short term Borrowings,41.97,8.36,8.50,17.57,5.46,100.89,114.95,51.86,28.75,23.40,25.47,16.09,
  └─ Lease Liabilities,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.88,2.74,2.57,
  └─ Preference Capital,12.75,12.75,12.75,12.75,12.75,12.75,12.75,0.00,0.00,0.00,0.00,0.00,
  └─ Other Borrowings,161.51,286.51,284.49,262.67,59.17,-12.75,-12.75,0.00,0.00,0.00,0.00,,
Other Liabilities,180.65,187.24,168.26,91.46,59.24,44.81,38.35,17.36,109.83,138.15,123.17,76.57,
  └─ Non controlling int,22,20,0,0,0,0,0,0,0,0,-0,-0,
  └─ Trade Payables,53,51,49,28,29,30,30,10,27,45,26,15,
  └─ Advance from Customers,10,1,4,4,6,5,3,2,0,0,0,,
  └─ Other liability items,95,115,115,59,25,10,5,5,83,93,98,62,
Total Liabilities,393.04,354.92,301.53,257.19,475.64,73.40,72.62,81.56,239.03,349.24,408.75,540.22,
Fixed Assets,186.22,170.38,93.28,84.10,425.63,0.02,0.02,0.02,24.52,151.07,154.26,206.88,
  └─ Land,71.26,71.26,4.80,4.80,355.56,0.00,0.00,0.00,0.00,0.00,0.00,,
  └─ Building,49.70,43.66,43.93,43.93,43.93,0.00,0.00,0.00,0.00,0.00,0.00,,
  └─ Plant Machinery,134.96,95.76,101.15,101.07,101.07,0.00,0.00,0.00,0.30,0.00,0.00,,
  └─ Equipments,0.76,0.15,1.67,1.67,1.67,0.01,0.01,0.01,0.18,0.37,0.37,,
  └─ Furniture n fittings,18.44,14.21,0.99,0.97,0.97,0.02,0.02,0.02,0.19,0.89,0.93,,
  └─ Vehicles,1.31,0.80,0.11,0.11,0.11,0.08,0.08,0.08,0.14,2.38,5.25,,
  └─ Other fixed assets,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,148.37,150.62,,
  └─ Gross Block,276.44,225.84,152.65,152.55,503.31,0.11,0.11,0.11,24.81,152.01,157.17,,
  └─ Accumulated Depreciation,90.22,55.46,59.37,68.45,77.68,0.09,0.09,0.09,0.29,0.94,2.91,,
CWIP,0.68,0.79,0.70,0.70,0.70,0.00,0.00,0.00,0.00,0.00,2.88,1.26,
Investments,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Other Assets,206.14,183.75,207.53,172.39,49.31,73.38,72.60,81.54,214.51,198.17,251.61,332.08,
  └─ Inventories,44,44,2,1,1,0,0,0,4,19,11,2,
  └─ Trade receivables,44,36,32,3,8,9,0,0,84,85,74,58,
    └─ Receivables over 6m,31,34,0,0,0,0,0,7,6,5,11,,22
    └─ Receivables under 6m,13,2,32,3,8,9,7,0,84,85,68,,26
    └─ Prov for Doubtful,0,0,0,0,0,0,-7,-7,-6,-5,-5,,0
  └─ Cash Equivalents,11,1,6,1,2,0,0,23,3,39,33,108,
  └─ Loans n Advances,4,100,1,1,3,3,0,3,3,5,7,29,
  └─ Other asset items,102,3,167,166,34,61,72,56,121,52,127,134,
Total Assets,393.04,354.92,301.53,257.19,475.64,73.40,72.62,81.56,239.03,349.24,408.75,540.22,
